,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,30 171 7793 282 11 6528 -78,0.0 1.0 0.0 0.1 0.0 0.0 1.0,100101.0,0,624,30 167 7796 291 11 6550 -78,0.0 0.0 0.5 1.0 0.0 0.5365853658536586 1.0,6006.365853658536,0,643,31 167 7799 281 11 6569 -83,1.0 0.0 1.0 0.0 0.0 1.0 0.0,1010010.0,0,615
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,27 5 4146 24306 0 11243 -230,0.0 0.0 0.0 0.3815789473684211 0.0 0.0 0.5,382.0789473684211,0,490,27 5 4146 24353 1 11243 -229,0.0 0.0 0.0 1.0 1.0 0.0 1.0,1101.0,0,483,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 1.0 1.0 0.0,10110.0,0,478
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,12 98 417 81 3 354 -1,0.0 1.0 0.0 1.0 0.0 0.0 1.0,101001.0,0,3206,12 97 418 79 3 356 -1,0.0 0.0 1.0 0.0 0.0 0.2857142857142857 1.0,10003.857142857143,0,3635,12 97 418 81 4 361 -3,0.0 0.0 1.0 1.0 1.0 1.0 0.0,11110.0,0,3528
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 1280 11707 0 3950 -87,0.0 0.0 0.0 0.0 0.0 0.3 0.0,3.0,0,326,0 0 1280 11783 0 3944 -85,0.0 0.0 0.0 1.0 0.0 0.0 1.0,1001.0,0,317,0 0 1280 11783 0 3964 -85,0.0 0.0 0.0 1.0 0.0 1.0 1.0,1011.0,0,305
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,28 240 0 63 6 644 -89,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,703,28 240 0 63 6 644 -89,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,703,28 242 1 66 6 654 -87,0.0 1.0 1.0 1.0 0.0 1.0 1.0,111011.0,0,656
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,15 4 2418 20025 0 7219 -163,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,340,15 4 2418 20025 0 7219 -163,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,340,15 4 2446 20025 0 7253 -166,0.0 0.0 1.0 0.0 0.0 1.0 0.0,10010.0,0,330
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,17 10 4085 24299 0 11013 -194,0.0 0.0 1.0 0.0 0.0 1.0 1.0,10011.0,0,529,17 10 4063 24318 0 10996 -196,0.0 0.0 0.0 1.0 0.0 0.0 0.0,1000.0,0,559,17 10 4085 24299 0 11013 -194,0.0 0.0 1.0 0.0 0.0 1.0 1.0,10011.0,0,529
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,18 125 2446 242 26 1900 35,0.0 0.0 0.0 1.0 1.0 0.0 0.0,1100.0,0,1237,18 125 2446 241 25 1900 35,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,1246,18 125 2527 241 25 1903 37,0.0 0.0 1.0 0.0 0.0 1.0 1.0,10011.0,0,1144
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71
