,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s8,0 0 0 0 0 333 -126,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,212,0 0 0 0 0 329 -158,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,217,0 0 0 0 0 329 -158,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,217
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s8,0 0 2 2 0 157 -106,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,20213,0 0 2 2 0 169 -153,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,20203,0 0 2 2 0 157 -106,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,20213
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s1,0 1 0 0 0 89 -21,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,37150,0 1 0 0 0 89 -21,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,37150,0 1 0 0 0 89 -21,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,37150
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s5,0 464 880 951 147 1684 12,0.0 1.0 0.0 1.0 0.0 0.0 1.0,101001.0,0,28351,0 460 1001 935 151 1773 4,0.0 0.0 1.0 0.0 1.0 1.0 0.0,10110.0,0,28495,0 461 1001 935 151 1771 6,0.0 0.25 1.0 0.0 1.0 0.9775280898876404 0.25,35110.02528089887,0,28465
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s6,0 1 2 0 0 95 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,16197,0 1 2 0 0 95 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,16197,0 1 2 0 0 95 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,16197
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s4,0 1 0 0 0 108 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,34940,0 1 0 0 0 108 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,34940,0 1 0 0 0 108 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,34940
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s0,0 0 0 1 0 308 -79,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,8351,0 0 0 1 0 303 -111,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,8361,0 0 0 1 0 303 -111,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,8361
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s9,0 1 0 4 0 369 -99,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,44899,0 1 0 4 0 333 -96,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,44954,0 1 0 4 0 333 -96,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,44954
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s4,0 1 0 0 0 95 -52,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,34562,0 1 0 0 0 93 -33,0.0 0.0 0.0 0.0 0.0 0.0 0.8260869565217391,0.8260869565217391,0,34569,0 1 0 0 0 93 -29,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,34566
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s3,0 2 0 2 0 163 -30,0.0 0.0 0.0 0.0 0.0 0.0 0.9622641509433962,0.9622641509433962,0,47910,0 2 0 2 0 163 -28,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,47908,0 2 0 2 0 172 -81,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,47880
