,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,10 305 3358 951 134 4989 88,1.0 0.3333333333333333 1.0 0.0 0.0 1.0 0.0,1043343.3333333334,0,4538,9 304 3280 981 146 4892 89,0.0 0.0 0.0 0.6976744186046512 1.0 0.0 1.0,798.6744186046512,0,4846,9 307 3282 994 139 4921 89,0.0 1.0 0.02564102564102564 1.0 0.4166666666666667 0.29896907216494845 1.0,101302.06661379857,0,4686
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,2 18 2508 6508 30 7874 21,0.0 1.0 1.0 0.0 1.0 0.0 1.0,110101.0,0,7100,3 17 2413 7334 12 7903 5,0.5 0.0 0.0 0.904709748083242 0.05263157894736842 0.3372093023255814 0.5294117647058824,500913.87441076594,0,6808,4 17 2453 7421 11 7960 -13,1.0 0.0 0.42105263157894735 1.0 0.0 1.0 0.0,1005220.5263157894,0,6533
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 29 84 120 20 470 15,0.0 1.0 0.0 1.0 0.0 0.0 1.0,101001.0,0,28452,0 7 100 76 24 529 11,0.0 0.0 1.0 0.0 1.0 0.9365079365079365 0.2,10109.56507936508,0,30286,0 7 100 78 24 533 10,0.0 0.0 1.0 0.045454545454545456 1.0 1.0 0.0,10155.454545454546,0,30253
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 479 2638 17 1993 59,0.0 0.0 0.0 0.0 1.0 0.0 0.0,100.0,0,5379,0 0 504 2680 13 2081 61,0.0 0.0 1.0 1.0 0.0 1.0 1.0,11011.0,0,5134,0 0 504 2680 13 2075 59,0.0 0.0 1.0 1.0 0.0 0.9318181818181818 0.0,11009.318181818182,0,5144
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,13 289 187 275 38 859 52,0.0 0.5714285714285714 1.0 1.0 1.0 1.0 1.0,68253.85714285713,0,13136,13 292 187 274 37 856 46,0.0 1.0 1.0 0.9166666666666666 0.5 0.9032258064516129 0.25,110975.94892473119,0,12651,14 285 186 263 36 828 44,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0,11001
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,0 3 1121 1962 23 4385 26,0.0 0.0 0.5694444444444444 0.0 0.3333333333333333 0.6093023255813953 0.5217391304347826,5734.392540164026,0,7134,0 3 1080 1989 22 4254 2,0.0 0.0 0.0 0.16463414634146342 0.0 0.0 0.0,164.63414634146343,0,7286,0 3 1152 2126 25 4469 48,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0,6689
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,0 29 2313 6796 37 7775 92,0.0 0.0 0.6585365853658537 0.1875 1.0 0.6141732283464567 0.09090909090909091,6879.098495032911,0,7364,0 29 2232 6787 37 7619 91,0.0 0.0 0.0 0.0 1.0 0.0 0.0,100.0,0,7737,0 29 2355 6835 30 7873 102,0.0 0.0 1.0 1.0 0.0 1.0 1.0,11011.0,0,7105
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,1 195 1277 625 161 1907 35,0.0 0.5 0.0 0.043478260869565216 0.7857142857142857 0.0 0.3333333333333333,50122.38302277433,0,7665,1 193 1277 624 164 1914 30,0.0 0.0 0.0 0.0 1.0 0.14 0.0,101.4,0,7944,1 197 1290 647 150 1957 45,0.0 1.0 1.0 1.0 0.0 1.0 1.0,111011.0,0,7349
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,128
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s6,1 14 2281 6947 16 7710 63,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,6619,1 14 2307 6973 17 7788 73,0.0 0.0 0.6666666666666666 0.4727272727272727 1.0 0.65 1.0,7246.893939393939,0,6536,1 15 2320 7002 16 7830 68,0.0 1.0 1.0 1.0 0.0 1.0 0.5,111010.5,0,6373
resolved-c28d-comp-ps/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s1,1 19 1704 4486 59 5386 63,0.0 0.0 0.0 1.0 1.0 0.0 1.0,1101.0,0,6424,1 19 1712 4469 56 5420 63,0.0 0.0 0.34782608695652173 0.0 0.0 0.8292682926829268 1.0,3487.553552492047,0,6373,1 20 1727 4469 56 5427 56,0.0 1.0 1.0 0.0 0.0 1.0 0.0,110010.0,0,6284
