,lnps-10-org-obj,lnps-10-nrm-obj,lnps-10-obj,lnps-10-diff,lnps-10-freq,lnps-30-org-obj,lnps-30-nrm-obj,lnps-30-obj,lnps-30-diff,lnps-30-freq,lnps-60-org-obj,lnps-60-nrm-obj,lnps-60-obj,lnps-60-diff,lnps-60-freq,mp-is-p-hi-org-obj,mp-is-p-hi-nrm-obj,mp-is-p-hi-obj,mp-is-p-hi-diff,mp-is-p-hi-freq,mp-is-p-low-org-obj,mp-is-p-low-nrm-obj,mp-is-p-low-obj,mp-is-p-low-diff,mp-is-p-low-freq,mp-is-p-mid-org-obj,mp-is-p-mid-nrm-obj,mp-is-p-mid-obj,mp-is-p-mid-diff,mp-is-p-mid-freq,mp-p-hi-org-obj,mp-p-hi-nrm-obj,mp-p-hi-obj,mp-p-hi-diff,mp-p-hi-freq,mp-p-low-org-obj,mp-p-low-nrm-obj,mp-p-low-obj,mp-p-low-diff,mp-p-low-freq,mp-p-mid-org-obj,mp-p-mid-nrm-obj,mp-p-mid-obj,mp-p-mid-diff,mp-p-mid-freq
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s8,6 178 3533 1348 426 5973 -38,0.0 0.0 0.03367003367003367 0.5068027210884354 0.9601226993865031 0.4723809523809524 0.0,944.2391372512319,0.04928571428571429,3302,11 194 3665 1378 436 6195 -25,0.18518518518518517 0.17204301075268819 0.18181818181818182 0.5578231292517006 0.99079754601227 0.8952380952380953 0.10317460317460317,204873.6265180443,0.037142857142857144,3300,10 189 3724 1341 436 6120 -30,0.14814814814814814 0.11827956989247312 0.24803591470258138 0.49489795918367346 0.99079754601227 0.7523809523809524 0.06349206349206349,163058.02929979347,0.035,3485,33 208 3761 1524 439 6250 -21,1.0 0.3225806451612903 0.2895622895622896 0.8061224489795918 1.0 1.0 0.1349206349206349,1036069.9447813664,0.008571428571428572,1,30 271 3878 1638 423 6164 -19,0.8888888888888888 1.0 0.4208754208754209 1.0 0.950920245398773 0.8361904761904762 0.15079365079365079,994201.2478205956,0.09357142857142857,105,32 264 3503 1370 374 5725 -33,0.9629629629629629 0.9247311827956989 0.0 0.54421768707483 0.8006134969325154 0.0 0.03968253968253968,1056060.3999618406,0.10285714285714286,48,33 208 3761 1524 439 6250 -21,1.0 0.3225806451612903 0.2895622895622896 0.8061224489795918 1.0 1.0 0.1349206349206349,1036069.9447813664,0.008571428571428572,684,18 179 3525 1050 230 6199 88,0.4444444444444444 0.010752688172043012 0.024691358024691357 0.0 0.3588957055214724 0.9028571428571428 1.0,445812.54498387635,0.8128571428571428,4756,21 195 4394 1051 113 6078 59,0.5555555555555556 0.1827956989247312 1.0 0.0017006802721088435 0.0 0.6723809523809524 0.7698412698412699,583844.3197790945,0.8042857142857143,4150
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 3 2 70 3 667 -6,0.0 0.016574585635359115 0.0 0.0 0.0 0.0 0.0,1657.4585635359115,0.20833333333333334,1940,0 5 25 189 16 1112 22,0.0 0.027624309392265192 0.03038309114927345 0.047771979124849456 0.23214285714285715 0.2106010411736867 0.37333333333333335,3139.727459303459,0.075,1754,0 5 28 183 20 1147 29,0.0 0.027624309392265192 0.034346103038309116 0.04536330790847049 0.30357142857142855 0.22716516800757217 0.4666666666666667,3184.350738721966,0.07023809523809524,1698,14 4 3 170 22 1091 28,1.0 0.022099447513812154 0.001321003963011889 0.04014452027298274 0.3392857142857143 0.20066256507335542 0.4533333333333333,1002299.6878416969,0.014285714285714285,1,5 177 311 515 59 1850 10,0.35714285714285715 0.9779005524861878 0.4081902245706737 0.1786431152147732 1.0 0.559867486985329 0.21333333333333335,459299.26976060064,0.31785714285714284,1472,3 181 294 471 46 1852 26,0.21428571428571427 1.0 0.3857331571994716 0.16097952629466078 0.7678571428571429 0.5608140085186938 0.4266666666666667,318386.8459050412,0.2833333333333333,2849,14 4 3 170 22 1091 28,1.0 0.022099447513812154 0.001321003963011889 0.04014452027298274 0.3392857142857143 0.20066256507335542 0.4533333333333333,1002299.6878416969,0.014285714285714285,1045,0 0 657 1239 13 2253 57,0.0 0.0 0.8652575957727873 0.46928944199116823 0.17857142857142858 0.750591575958353 0.84,9148.068458335767,0.6630952380952381,4444,0 0 759 2561 5 2780 69,0.0 0.0 1.0 1.0 0.03571428571428571 1.0 1.0,11014.57142857143,0.6178571428571429,4282
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s1,1 6 8 33 1 735 -110,0.0 0.0 0.004618937644341801 0.002034587995930824 0.04 0.017651573292402148 0.028735632183908046,52.42921580445677,0.07142857142857142,7195,1 11 9 27 0 752 -115,0.0 0.05952380952380952 0.005196304849884526 0.0011626217119604708 0.0 0.02091327705295472 0.0,6005.715755362287,0.06160714285714286,7282,1 12 5 27 1 677 -109,0.0 0.07142857142857142 0.002886836027713626 0.0011626217119604708 0.04 0.006523407521105142 0.034482758620689655,7176.98784168007,0.06339285714285714,6489,18 13 0 19 1 704 -108,1.0 0.08333333333333333 0.0 0.0 0.04 0.01170376055257099 0.040229885057471264,1008337.4906008239,0.014285714285714285,1,14 61 13 81 4 643 -105,0.7647058823529411 0.6547619047619048 0.007505773672055427 0.00901031826769365 0.16 0.0 0.05747126436781609,830282.1983553842,0.05714285714285714,632,13 90 293 202 25 991 -101,0.7058823529411765 1.0 0.16916859122401848 0.02659497166109577 1.0 0.06676899462778205 0.08045977011494253,807701.3819747942,0.20089285714285715,153,17 28 1546 6510 9 5506 37,0.9411764705882353 0.2619047619047619 0.8926096997690531 0.9433221915419271 0.36 0.9330391404451266 0.8735632183908046,977282.5699225668,0.6026785714285714,5921,11 18 1580 6900 12 5544 59,0.5882352941176471 0.14285714285714285 0.9122401847575058 1.0 0.48 0.9403300076745971 1.0,612701.8135510132,0.6705357142857142,5715,11 14 1732 6675 8 5855 2,0.5882352941176471 0.09523809523809523 1.0 0.9673012643511117 0.32 1.0 0.6724137931034483,608769.0773196009,0.6446428571428572,5139
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s4,1 10 0 4 0 122 -103,0.0 0.12962962962962962 0.0 0.0005621135469364812 0.0 0.0 0.0,12963.525076509899,0.22023809523809523,1138,1 10 0 2 0 153 -89,0.0 0.12962962962962962 0.0 0.0 0.0 0.011028103877623622 0.06278026905829596,12963.136024270796,0.11785714285714285,1504,1 10 0 7 0 156 -85,0.0 0.12962962962962962 0.0 0.001405283867341203 0.0 0.012095339736748489 0.08071748878923767,12964.569917716459,0.0869047619047619,1398,11 10 2 26 0 143 -86,1.0 0.12962962962962962 0.002157497303128371 0.006745362563237774 0.0 0.007470651013874066 0.07623318385650224,1012991.4342382515,0.02023809523809524,1,1 57 206 175 21 550 -52,0.0 1.0 0.2222222222222222 0.04862282181000562 1.0 0.15225898256848097 0.22869955156950672,102372.59633340948,0.2392857142857143,850,6 52 19 64 2 232 -80,0.5 0.9074074074074074 0.020496224379719527 0.017425519955030916 0.09523809523809523 0.03913198150124511 0.1031390134529148,590973.1467728453,0.08452380952380953,464,11 51 887 2872 8 2800 120,1.0 0.8888888888888888 0.9568500539374326 0.8066329398538504 0.38095238095238093 0.9526858769121309 1.0,1099312.6444649815,0.6011904761904762,5255,7 3 744 3512 13 2805 106,0.6 0.0 0.8025889967637541 0.9865092748735245 0.6190476190476191 0.9544646033440057 0.9372197309417041,609084.7858701802,0.6654761904761904,8371,6 9 927 3560 9 2933 63,0.5 0.1111111111111111 1.0 1.0 0.42857142857142855 1.0 0.7443946188340808,522164.71264858707,0.6547619047619048,7319
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s5,0 0 2 0 0 117 -44,0.0 0.0 0.0 0.0 0.0 0.14563106796116504 0.0,1.4563106796116503,0.40714285714285714,889,0 0 2 0 0 119 -36,0.0 0.0 0.0 0.0 0.0 0.1650485436893204 0.32,1.970485436893204,0.325,1149,0 0 2 0 0 121 -29,0.0 0.0 0.0 0.0 0.0 0.18446601941747573 0.6,2.4446601941747574,0.31785714285714284,1142,6 1 3 3 0 102 -37,0.8571428571428571 1.0 0.5 0.3333333333333333 0.0 0.0 0.28,962476.4704761903,0.014285714285714285,1,0 0 2 0 0 136 -30,0.0 0.0 0.0 0.0 0.0 0.3300970873786408 0.56,3.860970873786408,0.5071428571428571,3062,0 0 2 0 0 132 -37,0.0 0.0 0.0 0.0 0.0 0.2912621359223301 0.28,3.192621359223301,0.125,2787,7 1 4 9 0 102 -37,1.0 1.0 1.0 1.0 0.0 0.0 0.28,1111000.28,0.014285714285714285,342,0 0 2 0 0 130 -25,0.0 0.0 0.0 0.0 0.0 0.27184466019417475 0.76,3.478446601941747,0.6642857142857143,6367,0 0 2 0 0 205 -19,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.5285714285714286,4593
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s0,0 2 0 0 0 76 -37,0.0 0.25 0.0 0.0 0.0 0.0 0.0,25000.0,0.29285714285714287,338,0 1 0 0 0 77 -33,0.0 0.0 0.0 0.0 0.0 0.0025380710659898475 0.1111111111111111,0.13649182177100957,0.31785714285714284,410,0 1 0 0 0 78 -28,0.0 0.0 0.0 0.0 0.0 0.005076142131979695 0.25,0.30076142131979694,0.21785714285714286,405,2 4 1 8 0 76 -28,0.6666666666666666 0.75 0.02631578947368421 0.14035087719298245 0.0 0.0 0.25,742070.4254385964,0.025,1,0 1 0 0 0 98 -19,0.0 0.0 0.0 0.0 0.0 0.05583756345177665 0.5,1.0583756345177666,0.4035714285714286,1793,0 1 0 0 0 94 -29,0.0 0.0 0.0 0.0 0.0 0.04568527918781726 0.2222222222222222,0.6790750141003947,0.08571428571428572,526,3 5 1 13 0 79 -28,1.0 1.0 0.02631578947368421 0.22807017543859648 0.0 0.007614213197969543 0.25,1100491.5542123073,0.025,360,0 3 38 57 20 470 -1,0.0 0.5 1.0 1.0 1.0 1.0 1.0,61111.0,0.7107142857142857,21340,0 2 25 25 12 381 -10,0.0 0.25 0.6578947368421053 0.43859649122807015 0.6 0.7741116751269036 0.75,32086.03497640039,0.6035714285714285,24281
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s9,1 2 0 1 0 106 -104,0.0 0.0 0.0 0.0 0.0 0.009861932938856016 0.0,0.09861932938856016,0.2226190476190476,2391,1 2 0 2 0 118 -80,0.0 0.0 0.0 0.002785515320334262 0.0 0.021696252465483234 0.14634146341463414,3.1488193084037284,0.12976190476190477,2569,1 2 0 7 0 136 -76,0.0 0.0 0.0 0.016713091922005572 0.0 0.03944773175542406 0.17073170731707318,17.278300946876886,0.09523809523809523,2504,17 2 0 5 0 97 -79,0.9411764705882353 0.0 0.0 0.011142061281337047 0.0 0.0009861932938856016 0.1524390243902439,941187.7749504739,0.008333333333333333,1,10 15 5 22 0 132 -74,0.5294117647058824 0.048327137546468404 0.012853470437017995 0.0584958217270195 0.0 0.03550295857988166 0.18292682926829268,534432.0469430415,0.0380952380952381,551,4 153 110 248 20 543 -18,0.17647058823529413 0.5613382899628253 0.2827763496143959 0.6880222841225627 0.21739130434782608 0.4408284023668639 0.524390243902439,236146.87481654552,0.3476190476190476,533,18 2 0 7 0 96 -79,1.0 0.0 0.0 0.016713091922005572 0.0 0.0 0.1524390243902439,1000016.8655309464,0.008333333333333333,1008,18 271 76 299 19 798 51,1.0 1.0 0.1953727506426735 0.83008356545961 0.20652173913043478 0.6923076923076923 0.9451219512195121,1102812.3314446737,0.6059523809523809,8938,12 212 389 360 92 1110 60,0.6470588235294118 0.7806691449814126 1.0 1.0 1.0 1.0 1.0,736236.7380275531,0.6035714285714285,7604
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s2,0 0 10 1 0 74 -79,0.0 0.0 0.03614457831325301 0.0 0.0 0.015169194865810968 0.0,361.5974750811882,0.25,894,0 0 10 1 0 78 -51,0.0 0.0 0.03614457831325301 0.0 0.0 0.019836639439906652 0.19858156028368795,361.8427310872128,0.14821428571428572,868,0 0 10 1 0 92 -50,0.0 0.0 0.03614457831325301 0.0 0.0 0.03617269544924154 0.20567375886524822,362.01318384588774,0.13035714285714287,1167,11 2 4 7 0 61 -42,0.9166666666666666 1.0 0.0 0.01090909090909091 0.0 0.0 0.2624113475177305,1016677.8381689233,0.0125,1,7 1 5 20 1 123 -37,0.5833333333333334 0.5 0.006024096385542169 0.034545454545454546 0.16666666666666666 0.07234539089848308 0.2978723404255319,633445.8077446503,0.06428571428571428,20747,0 0 16 31 0 241 -14,0.0 0.0 0.07228915662650602 0.05454545454545454 0.0 0.2100350058343057 0.46099290780141844,779.9983637766592,0.20714285714285716,2119,12 2 4 7 0 61 -42,1.0 1.0 0.0 0.01090909090909091 0.0 0.0 0.2624113475177305,1100011.1715022565,0.0125,716,0 0 159 551 6 856 62,0.0 0.0 0.9337349397590361 1.0 1.0 0.9276546091015169 1.0,10447.625943681376,0.7142857142857143,6156,0 0 170 278 6 918 54,0.0 0.0 1.0 0.5036363636363637 1.0 1.0 0.9432624113475178,10614.579626047711,0.6178571428571429,6688
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s4,1 5 0 0 0 85 -41,0.25 0.3333333333333333 0.0 0.0 0.0 0.0029940119760479044 0.0,283333.3632734531,0.33214285714285713,444,1 5 0 0 0 84 -36,0.25 0.3333333333333333 0.0 0.0 0.0 0.0 0.1724137931034483,283333.5057471264,0.3,417,1 5 0 0 0 89 -36,0.25 0.3333333333333333 0.0 0.0 0.0 0.014970059880239521 0.1724137931034483,283333.6554477252,0.19285714285714287,359,2 6 4 4 0 99 -19,0.5 0.4166666666666667 0.13793103448275862 0.09302325581395349 0.0 0.04491017964071856 0.7586206896551724,543140.2079897943,0.025,1,0 1 0 0 0 107 -27,0.0 0.0 0.0 0.0 0.0 0.0688622754491018 0.4827586206896552,1.1713813751806732,0.5,2530,0 1 0 0 0 120 -20,0.0 0.0 0.0 0.0 0.0 0.10778443113772455 0.7241379310344828,1.8019822424117282,0.15714285714285714,3202,4 13 3 7 0 101 -19,1.0 1.0 0.10344827586206896 0.16279069767441862 0.0 0.05089820359281437 0.7586206896551724,1101198.5410590207,0.03214285714285714,341,0 1 29 43 6 418 -12,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0.6642857142857143,21895,0 1 0 2 0 209 -16,0.0 0.0 0.0 0.046511627906976744 0.0 0.37425149700598803 0.8620689655172413,51.11621184255387,0.5892857142857143,15348
resolved-p28d-paper/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s4,0 7 3 0 0 82 -68,0.0 0.030303030303030304 0.002421307506053269 0.0 0.0 0.0020174848688634837 0.0,3054.5362802122518,0.24285714285714285,790,0 3 4 4 0 102 -53,0.0 0.0 0.004842615012106538 0.0030097817908201654 0.0 0.01546738399462004 0.10204081632653061,51.692646568158274,0.14285714285714285,1043,0 3 3 9 0 107 -57,0.0 0.0 0.002421307506053269 0.006772009029345372 0.0 0.01882985877605918 0.07482993197278912,31.248212609611443,0.125,1354,9 9 2 10 0 79 -55,1.0 0.045454545454545456 0.0 0.007524454477050414 0.0 0.0 0.08843537414965986,1004553.0674353058,0.019642857142857142,1,0 135 135 257 23 592 0,0.0 1.0 0.3220338983050847 0.19337848006019565 1.0 0.3449899125756557 0.46258503401360546,103517.62994727082,0.5964285714285714,969,0 108 182 223 21 565 -6,0.0 0.7954545454545454 0.4358353510895884 0.16779533483822423 0.9130434782608695 0.32683254875588436 0.4217687074829932,84166.59783320979,0.38035714285714284,1551,9 10 415 1329 14 1566 79,1.0 0.05303030303030303 1.0 1.0 0.6086956521739131 1.0 1.0,1016374.8998682477,0.6125,14166,1 3 253 357 10 1232 35,0.1111111111111111 0.0 0.6077481840193705 0.2686230248306998 0.43478260869565216 0.7753866845998655 0.7006802721088435,117509.14878412319,0.6625,14069,2 3 293 127 16 1480 36,0.2222222222222222 0.0 0.7046004842615012 0.09556057185854025 0.6956521739130435 0.9421654337592468 0.7074829931972789,229443.48199141785,0.6446428571428572,12438
