,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s9,0 0 0 0 0 1086 -92,0.0 0.0 0.0 0.0 0.0 0.8877840909090909 0.7586206896551724,9.636461598746083,0.3342857142857143,195,0 0 0 0 0 461 -158,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.63,192,0 0 0 0 0 1165 -71,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.33285714285714285,202
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s0,26 401 4568 2019 298 5753 -4,1.0 1.0 0.02453349648210462 0.18856947296372348 0.0 0.020799848728372886 0.0,1100434.1124362722,0.017142857142857144,2489,19 375 20512 4390 2337 16110 42,0.0 0.7699115044247787 1.0 1.0 1.0 1.0 0.8679245283018868,88102.01836700617,0.7942857142857143,1121,19 288 4167 1468 391 5533 49,0.0 0.0 0.0 0.0 0.045610593428151054 0.0 1.0,5.561059342815105,0.7928571428571428,4448
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s8,0 0 0 0 0 802 -78,0.0 0.0 0.0 0.0 0.0 0.9514767932489452 0.8888888888888888,10.403656821378341,0.3053571428571429,188,0 0 0 0 0 351 -94,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6517857142857143,75,0 0 0 0 0 825 -76,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.3107142857142857,200
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s8,8 12 122 325 2 647 -59,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.009523809523809525,8048,0 0 439 1194 25 1739 48,0.0 0.0 1.0 1.0 0.696969696969697 1.0 0.9304347826086956,11080.62740447958,0.6523809523809524,4400,0 0 353 795 35 1654 56,0.0 0.0 0.7287066246056783 0.5408515535097813 1.0 0.9221611721611722 1.0,7938.139411288176,0.6214285714285714,3765
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s1,7 1 1 0 0 78 -36,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.014285714285714285,6051,0 43 52 85 17 426 -3,0.0 0.65625 0.3 0.4473684210526316 0.7083333333333334 1.0 0.7674418604651163,69153.96919624641,0.7714285714285715,29649,2 65 171 190 24 372 7,0.2857142857142857 1.0 1.0 1.0 1.0 0.8448275862068966 1.0,396823.73399014777,0.8,33850
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s5,31 530 602 1153 132 1806 44,1.0 0.6235294117647059 1.0 1.0 1.0 1.0 0.1568627450980392,1073463.0980392157,0.019642857142857142,3152,18 477 403 473 70 1289 36,0.35 0.0 0.0 0.0 0.0 0.0 0.0,350000.0,0.7339285714285714,7450,11 562 408 740 73 1326 87,0.0 1.0 0.02512562814070352 0.3926470588235294 0.04838709677419355 0.07156673114119923 1.0,100650.4577172194,0.7553571428571428,6012
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s6,0 4 73 71 31 631 -1,0.0 1.0 1.0 1.0 1.0 1.0 1.0,111111.0,0.29285714285714287,27541,0 1 2 0 0 105 -12,0.0 0.0 0.0 0.0 0.0 0.0 0.3888888888888889,0.3888888888888889,0.6214285714285714,13766,0 1 2 0 0 108 -19,0.0 0.0 0.0 0.0 0.0 0.005703422053231939 0.0,0.057034220532319393,0.37142857142857144,12286
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s4,1 4 3 0 0 97 -29,1.0 0.17647058823529413 0.0 0.0 0.0 0.0 0.0,1017647.0588235294,0.02857142857142857,4938,0 18 56 109 47 567 -5,0.0 1.0 1.0 1.0 1.0 1.0 1.0,111111.0,0.6928571428571428,26491,0 1 30 67 17 446 -8,0.0 0.0 0.5094339622641509 0.6146788990825688 0.3617021276595745 0.7425531914893617 0.875,5753.489266404929,0.5,22186
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s0,14 29 372 298 10 1494 -25,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.014285714285714285,4099,0 0 953 1537 38 3562 105,0.0 0.0 0.7050970873786407 0.41971544715447157 0.21212121212121213 0.9003047453199826 1.0,7501.9014896062,0.6410714285714286,3619,0 0 1196 3250 142 3791 69,0.0 0.0 1.0 1.0 1.0 1.0 0.7230769230769231,11110.723076923077,0.6464285714285715,3493
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s9,13 57 2061 7638 10 6088 81,1.0 1.0 1.0 1.0 0.0 1.0 0.3902439024390244,1111010.3902439023,0.5928571428571429,5848,5 19 1350 4350 25 5053 65,0.1111111111111111 0.11627906976744186 0.13818181818181818 0.23356643356643356 1.0 0.2099236641221374 0.0,124456.50193988113,0.65,7507,4 14 1236 3348 17 4778 106,0.0 0.0 0.0 0.0 0.4666666666666667 0.0 1.0,47.666666666666664,0.6285714285714286,5981
