,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 507 -47,0.0 0.0 0.0 0.0 0.0 0.8640776699029126 1.0,9.640776699029125,0.23333333333333334,106,0 0 0 0 0 418 -64,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.35714285714285715,30,0 0 0 0 0 521 -48,0.0 0.0 0.0 0.0 0.0 1.0 0.9411764705882353,10.941176470588236,0.28809523809523807,59
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s8,74 221 10437 937 37 7880 10,1.0 1.0 1.0 1.0 1.0 1.0 0.9733333333333334,1111110.9733333334,0.56,279,32 94 9659 468 16 7744 12,0.045454545454545456 0.0 0.39171227521501173 0.23491027732463296 0.16 0.0 1.0,49623.57848402021,0.8128571428571428,562,30 109 9158 324 12 7879 -63,0.0 0.11811023622047244 0.0 0.0 0.0 0.9926470588235294 0.0,11820.95009263548,0.8128571428571428,547
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s3,27 9 4348 25382 0 11542 -226,1.0 0.0 1.0 0.0 0.0 1.0 1.0,1010011.0,0.6514285714285715,28,26 11 4180 25419 1 11379 -248,0.0 1.0 0.0 0.5967741935483871 1.0 0.0 0.08333333333333333,100696.85752688172,0.6542857142857142,833,26 11 4249 25444 1 11470 -250,0.0 1.0 0.4107142857142857 1.0 1.0 0.558282208588957 0.0,105212.72567922875,0.6514285714285715,756
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s8,3 12 7 24 0 165 -13,0.0 0.0 1.0 1.0 0.0 0.0 0.0,11000.0,0.03571428571428571,2232,10 81 5 21 1 341 -2,1.0 1.0 0.6 0.7 1.0 0.9263157894736842 1.0,1106810.2631578948,0.6785714285714286,3445,10 80 2 14 0 355 -6,1.0 0.9855072463768116 0.0 0.0 0.0 1.0 0.6363636363636364,1098561.3610013176,0.6714285714285714,3329
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s5,23 41 742 1806 8 2188 34,1.0 1.0 0.0 0.0 1.0 0.0 1.0,1100101.0,0.01904761904761905,581,0 0 1368 12192 0 4118 -97,0.0 0.0 1.0 0.9307285599068017 0.0 0.9953584321815369 0.07092198581560284,10940.753066214433,0.6404761904761904,188,0 0 1352 12965 0 4127 -107,0.0 0.0 0.9744408945686901 1.0 0.0 1.0 0.0,10754.4089456869,0.6476190476190476,164
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s9,19 136 10 148 3 438 -65,0.0 0.0 0.0 1.0 0.0 0.0 0.0,1000.0,0.009523809523809525,774,28 240 42 100 16 962 -30,0.75 0.8739495798319328 0.25196850393700787 0.3924050632911392 1.0 1.0 1.0,840418.0480858545,0.6476190476190476,1142,31 255 137 69 7 734 -35,1.0 1.0 1.0 0.0 0.3076923076923077 0.5648854961832062 0.8571428571428571,1110037.2752285881,0.6214285714285714,1223
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s7,16 6 2601 20947 0 7505 -169,1.0 1.0 1.0 1.0 0.0 1.0 1.0,1111011.0,0.6464285714285715,28,15 2 2423 20344 1 7280 -188,0.0 0.0 0.0 0.0 1.0 0.0 0.0,100.0,0.6410714285714286,923,15 3 2489 20450 0 7374 -173,0.0 0.25 0.3707865168539326 0.175787728026534 0.0 0.4177777777777778 0.7894736842105263,28888.62014802785,0.6410714285714286,332
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s4,18 7 4217 26208 0 11421 -192,0.0 0.0 0.0 1.0 0.0 0.0 1.0,1001.0,0.6471428571428571,787,18 7 4292 25902 1 11454 -195,0.0 0.0 0.5681818181818182 0.0 1.0 0.18232044198895028 0.25,5783.891386238071,0.6542857142857142,70,18 7 4349 26201 0 11602 -196,0.0 0.0 1.0 0.9771241830065359 0.0 1.0 0.0,10987.124183006536,0.6528571428571428,66
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s6,42 274 2375 1249 104 2079 36,1.0 1.0 0.09022556390977443 1.0 1.0 1.0 0.0,1102012.2556390977,0.06190476190476191,604,23 210 3101 560 39 1842 68,0.0 0.0 1.0 0.0 0.0 0.0 0.8421052631578947,10000.842105263158,0.7761904761904762,966,25 233 2303 568 49 1866 74,0.10526315789473684 0.359375 0.0 0.011611030478955007 0.15384615384615385 0.10126582278481013 1.0,141229.6661988283,0.7833333333333333,771
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 85 -48,0.0 0.0 0.0 0.0 0.0 0.0 0.23076923076923078,0.23076923076923078,0.07857142857142857,279,0 0 0 0 0 102 -28,0.0 0.0 0.0 0.0 0.0 0.85 1.0,9.5,0.5642857142857143,101,0 0 0 0 0 105 -54,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.07857142857142857,370
