,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 146 -96,0.0 0.0 0.0 0.0 0.0 0.0 0.29411764705882354,0.29411764705882354,0.05,444,0 0 0 0 0 149 -116,0.0 0.0 0.0 0.0 0.0 0.008 0.0,0.08,0.6,161,0 0 0 0 0 521 -48,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.28809523809523807,59
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s8,17 368 3132 1465 252 5141 -23,1.0 0.3229166666666667 1.0 0.0 0.0 1.0 0.0,1042301.6666666666,0.01,14666,0 337 2885 1657 283 4759 13,0.0 0.0 0.6471428571428571 1.0 0.23308270676691728 0.5888051668460711 0.631578947368421,7501.256472721092,0.7714285714285715,10775,1 433 2432 1640 385 4212 34,0.058823529411764705 1.0 0.0 0.9114583333333334 1.0 0.0 1.0,159835.98774509804,0.7971428571428572,16110
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s3,15 275 3278 1562 299 6618 75,1.0 1.0 1.0 1.0 1.0 0.8977346278317152 1.0,1111109.9773462783,0.52,32499,0 2 677 534 88 3844 14,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.7042857142857143,36696,0 2 2001 692 177 6934 36,0.0 0.0 0.5090349865436371 0.15369649805447472 0.4218009478672986 1.0 0.36065573770491804,5296.58711401528,0.6257142857142857,37091
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s8,1 2 0 2 0 86 -20,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.03571428571428571,3581,0 1 0 2 0 90 -14,0.0 0.0 0.0 0.0 0.0 0.5714285714285714 1.0,6.7142857142857135,0.6857142857142857,34667,0 1 0 2 0 93 -20,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.06428571428571428,31459
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s5,9 1 2 63 8 565 -27,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.01904761904761905,16796,0 0 33 199 52 981 40,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0.65,21329,0 0 2 133 23 840 32,0.0 0.0 0.0 0.5147058823529411 0.3409090909090909 0.6610576923076923 0.8805970149253731,556.2879653818525,0.6047619047619047,20303
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s9,7 0 0 0 0 112 -87,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.009523809523809525,36333,1 222 722 798 147 1614 17,0.14285714285714285 0.8505747126436781 0.8544378698224852 1.0 1.0 1.0 0.6887417218543046,237569.68156145734,0.8,42946,0 261 845 691 125 1481 64,0.0 1.0 1.0 0.8659147869674185 0.8503401360544217 0.9114513981358189 1.0,110961.06331455422,0.7571428571428571,46355
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s7,15 395 1650 1055 141 3031 76,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.575,22374,0 1 88 516 92 2572 -8,0.0 0.0 0.010766307789740342 0.15384615384615385 0.0 0.5021691973969631 0.023255813953488372,266.5541795314804,0.6875,40737,0 1 71 418 129 2109 -10,0.0 0.0 0.0 0.0 0.7551020408163265 0.0 0.0,75.51020408163265,0.6553571428571429,39723
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s4,7 157 2316 1375 143 5590 184,1.0 0.0 1.0 1.0 0.8108108108108109 1.0 1.0,1011092.0810810811,0.5614285714285714,33509,0 330 1664 1161 150 3765 107,0.0 1.0 0.3187042842215256 0.33746130030959753 1.0 0.07501267105930055 0.0,103625.25426923546,0.7585714285714286,14193,0 298 1359 1052 113 3617 139,0.0 0.815028901734104 0.0 0.0 0.0 0.0 0.4155844155844156,81503.30575782599,0.72,20619
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s6,6 87 283 262 68 1737 16,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.011904761904761904,28704,0 128 1027 813 184 2525 37,0.0 0.23163841807909605 0.8996372430471584 0.5222748815165876 1.0 1.0 0.875,32793.36411989777,0.7714285714285715,26629,0 264 1110 1317 176 2109 40,0.0 1.0 1.0 1.0 0.9310344827586207 0.4720812182741117 1.0,111098.8242604586,0.7666666666666667,20028
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 77 -41,0.0 0.0 0.0 0.0 0.0 1.0 0.6470588235294118,10.647058823529411,0.07857142857142857,355,0 0 0 0 0 70 -29,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0.6142857142857143,154,0 0 0 0 0 77 -63,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.07857142857142857,480
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s6,7 211 2832 1141 267 5812 65,1.0 1.0 0.8262773722627738 0.9453189726594863 0.6209302325581395 0.5032754201082312 1.0,1109276.2184727439,0.4957142857142857,32232,0 2 2 0 0 511 -143,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6057142857142858,23350,0 2 3427 1207 430 11044 13,0.0 0.0 1.0 1.0 1.0 1.0 0.75,11110.75,0.7557142857142857,33001
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s1,13 283 1847 934 176 3560 78,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.5089285714285714,30900,0 2 0 143 14 1018 -23,0.0 0.0 0.0 0.0 0.0 0.0 0.25735294117647056,0.25735294117647056,0.6553571428571429,37247,0 2 6 210 35 1215 -58,0.0 0.0 0.0032485110990795887 0.08470290771175727 0.12962962962962962 0.07749803304484658 0.0,130.9259619959646,0.6946428571428571,35305
