,mp-is1-p-hi-org-obj,mp-is1-p-hi-nrm-obj,mp-is1-p-hi-obj,mp-is1-p-hi-diff,mp-is1-p-hi-freq,mp-is1-p-low-org-obj,mp-is1-p-low-nrm-obj,mp-is1-p-low-obj,mp-is1-p-low-diff,mp-is1-p-low-freq,mp-is1-p-mid-org-obj,mp-is1-p-mid-nrm-obj,mp-is1-p-mid-obj,mp-is1-p-mid-diff,mp-is1-p-mid-freq,mp-is10-p-hi-org-obj,mp-is10-p-hi-nrm-obj,mp-is10-p-hi-obj,mp-is10-p-hi-diff,mp-is10-p-hi-freq,mp-is10-p-low-org-obj,mp-is10-p-low-nrm-obj,mp-is10-p-low-obj,mp-is10-p-low-diff,mp-is10-p-low-freq,mp-is10-p-mid-org-obj,mp-is10-p-mid-nrm-obj,mp-is10-p-mid-obj,mp-is10-p-mid-diff,mp-is10-p-mid-freq,mp-is100-p-hi-org-obj,mp-is100-p-hi-nrm-obj,mp-is100-p-hi-obj,mp-is100-p-hi-diff,mp-is100-p-hi-freq,mp-is100-p-low-org-obj,mp-is100-p-low-nrm-obj,mp-is100-p-low-obj,mp-is100-p-low-diff,mp-is100-p-low-freq,mp-is100-p-mid-org-obj,mp-is100-p-mid-nrm-obj,mp-is100-p-mid-obj,mp-is100-p-mid-diff,mp-is100-p-mid-freq
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 223 -75,0.0 0.0 0.0 0.0 0.0 0.5172413793103449 0.4444444444444444,5.616858237547893,0.16071428571428573,1,0 0 0 0 0 193 -73,0.0 0.0 0.0 0.0 0.0 0.0 0.5185185185185185,0.5185185185185185,0.36666666666666664,3,0 0 0 0 0 238 -60,0.0 0.0 0.0 0.0 0.0 0.7758620689655172 1.0,8.758620689655173,0.1595238095238095,2,0 0 0 0 0 248 -72,0.0 0.0 0.0 0.0 0.0 0.9482758620689655 0.5555555555555556,10.03831417624521,0.1630952380952381,8,0 0 0 0 0 211 -87,0.0 0.0 0.0 0.0 0.0 0.3103448275862069 0.0,3.103448275862069,0.2976190476190476,3,0 0 0 0 0 240 -71,0.0 0.0 0.0 0.0 0.0 0.8103448275862069 0.5925925925925926,8.69604086845466,0.15833333333333333,7,0 0 0 0 0 245 -73,0.0 0.0 0.0 0.0 0.0 0.896551724137931 0.5185185185185185,9.484035759897829,0.15357142857142858,22,0 0 0 0 0 229 -67,0.0 0.0 0.0 0.0 0.0 0.6206896551724138 0.7407407407407407,6.947637292464878,0.3261904761904762,2,0 0 0 0 0 251 -66,0.0 0.0 0.0 0.0 0.0 1.0 0.7777777777777778,10.777777777777779,0.1595238095238095,6
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,33 208 3761 1524 439 6250 -21,1.0 0.022727272727272728 0.5129224652087475 0.7264150943396226 0.7142857142857143 0.7720588235294118 0.41379310344827586,1008207.9299719216,0.008571428571428572,1,33 206 3763 1503 449 6325 -30,1.0 0.0 0.5168986083499006 0.6273584905660378 0.8241758241758241 0.8823529411764706 0.10344827586206896,1005887.6891341703,0.02214285714285714,58,33 206 3791 1502 451 6348 -29,1.0 0.0 0.5725646123260437 0.6226415094339622 0.8461538461538461 0.9161764705882353 0.13793103448275862,1006442.2027130502,0.03642857142857143,49,33 208 3761 1524 439 6250 -21,1.0 0.022727272727272728 0.5129224652087475 0.7264150943396226 0.7142857142857143 0.7720588235294118 0.41379310344827586,1008207.9299719216,0.008571428571428572,1,32 294 4006 1582 445 6329 -4,0.0 1.0 1.0 1.0 0.7802197802197802 0.888235294117647 1.0,111087.90433096315,0.18285714285714286,42,32 264 3503 1370 374 5725 -33,0.0 0.6590909090909091 0.0 0.0 0.0 0.0 0.0,65909.09090909091,0.10285714285714286,48,33 208 3761 1524 439 6250 -21,1.0 0.022727272727272728 0.5129224652087475 0.7264150943396226 0.7142857142857143 0.7720588235294118 0.41379310344827586,1008207.9299719216,0.008571428571428572,1,33 206 3711 1481 439 6258 -31,1.0 0.0 0.4135188866799205 0.5235849056603774 0.7142857142857143 0.7838235294117647 0.06896551724137931,1004738.1095446994,0.020714285714285713,376,33 206 3782 1490 465 6405 -18,1.0 0.0 0.5546719681908548 0.5660377358490566 1.0 1.0 0.5172413793103449,1006223.2746591369,0.095,150
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,30 11 2 22 0 457 -130,1.0 0.18181818181818182 0.06451612903225806 0.1320754716981132 0.0 0.058823529411764705 0.7,1018960.3431791329,0.015,1,26 20 31 51 3 537 -137,0.0 1.0 1.0 0.6792452830188679 1.0 1.0 0.0,110789.24528301887,0.05,375,27 9 0 18 0 452 -132,0.25 0.0 0.0 0.05660377358490566 0.0 0.0 0.5,250057.1037735849,0.02,105,30 11 2 22 0 457 -130,1.0 0.18181818181818182 0.06451612903225806 0.1320754716981132 0.0 0.058823529411764705 0.7,1018960.3431791329,0.015,1,26 10 3 32 1 531 -127,0.0 0.09090909090909091 0.0967741935483871 0.32075471698113206 0.3333333333333333 0.9294117647058824 1.0,10423.033194354488,0.03428571428571429,311,27 9 0 16 0 457 -131,0.25 0.0 0.0 0.018867924528301886 0.0 0.058823529411764705 0.6,250020.05615982244,0.02214285714285714,169,30 11 2 22 0 457 -130,1.0 0.18181818181818182 0.06451612903225806 0.1320754716981132 0.0 0.058823529411764705 0.7,1018960.3431791329,0.015,1,28 11 10 68 0 500 -130,0.5 0.18181818181818182 0.3225806451612903 1.0 0.0 0.5647058823529412 0.7,522413.97169225465,0.05071428571428571,242,27 9 1 15 0 462 -128,0.25 0.0 0.03225806451612903 0.0 0.0 0.11764705882352941 0.9,250324.65711574952,0.022857142857142857,181
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,4 6 0 11 0 79 -16,1.0 1.0 0.0 0.42857142857142855 0.0 0.0 0.09090909090909091,1100428.6623376622,0.025,1,0 1 0 10 1 134 -17,0.0 0.0 0.0 0.38095238095238093 0.2 0.5978260869565217 0.0,406.9306418219461,0.19285714285714287,1222,0 2 0 3 0 99 -16,0.0 0.2 0.0 0.047619047619047616 0.0 0.21739130434782608 0.09090909090909091,20049.883869753434,0.10714285714285714,416,4 6 0 11 0 79 -16,1.0 1.0 0.0 0.42857142857142855 0.0 0.0 0.09090909090909091,1100428.6623376622,0.025,1,0 1 0 2 0 112 -8,0.0 0.0 0.0 0.0 0.0 0.358695652173913 0.8181818181818182,4.405138339920948,0.2857142857142857,787,0 1 0 6 0 106 -16,0.0 0.0 0.0 0.19047619047619047 0.0 0.29347826086956524 0.09090909090909091,193.5018821757952,0.09642857142857143,518,4 6 0 11 0 79 -16,1.0 1.0 0.0 0.42857142857142855 0.0 0.0 0.09090909090909091,1100428.6623376622,0.025,1,0 3 7 23 5 171 -6,0.0 0.4 1.0 1.0 1.0 1.0 1.0,51111.0,0.4,715,0 3 0 4 0 99 -15,0.0 0.4 0.0 0.09523809523809523 0.0 0.21739130434782608 0.18181818181818182,40097.59382646339,0.09285714285714286,718
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,14 4 3 170 22 1091 28,1.0 0.03571428571428571 0.07692307692307693 0.44871794871794873 1.0 0.08 1.0,1004891.1772893773,0.014285714285714285,1,13 3 2 153 14 1106 28,0.5 0.0 0.0 0.23076923076923078 0.38461538461538464 0.28 1.0,500273.0307692308,0.125,549,13 3 2 145 9 1085 23,0.5 0.0 0.0 0.1282051282051282 0.0 0.0 0.5454545454545454,500128.7505827506,0.04642857142857143,870,14 4 3 170 22 1091 28,1.0 0.03571428571428571 0.07692307692307693 0.44871794871794873 1.0 0.08 1.0,1004891.1772893773,0.014285714285714285,1,13 3 2 167 20 1160 23,0.5 0.0 0.0 0.41025641025641024 0.8461538461538461 1.0 0.5454545454545454,500505.4172494173,0.05714285714285714,574,12 3 11 158 21 1137 28,0.0 0.0 0.6923076923076923 0.2948717948717949 0.9230769230769231 0.6933333333333334 1.0,7318.189743589744,0.0380952380952381,1086,14 4 3 170 22 1091 28,1.0 0.03571428571428571 0.07692307692307693 0.44871794871794873 1.0 0.08 1.0,1004891.1772893773,0.014285714285714285,1,13 3 3 135 17 1157 17,0.5 0.0 0.07692307692307693 0.0 0.6153846153846154 0.96 0.0,500840.36923076917,0.058333333333333334,772,12 31 15 213 22 1106 27,0.0 1.0 1.0 1.0 1.0 0.28 0.9090909090909091,111103.70909090909,0.06428571428571428,558
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,17 2 0 5 0 97 -79,1.0 0.02127659574468085 0.0 0.0 0.0 0.0 0.037037037037037035,1002127.6966115051,0.008333333333333333,1,11 48 7 56 2 186 -53,0.14285714285714285 1.0 1.0 1.0 0.6666666666666666 1.0 1.0,253934.8095238095,0.09523809523809523,547,11 3 5 20 3 144 -80,0.14285714285714285 0.0425531914893617 0.7142857142857143 0.29411764705882354 1.0 0.5280898876404494 0.0,154654.71769487136,0.041666666666666664,551,17 2 0 5 0 97 -79,1.0 0.02127659574468085 0.0 0.0 0.0 0.0 0.037037037037037035,1002127.6966115051,0.008333333333333333,1,10 20 6 15 1 140 -76,0.0 0.40425531914893614 0.8571428571428571 0.19607843137254902 0.3333333333333333 0.48314606741573035 0.14814814814814814,49231.35185985038,0.0380952380952381,507,10 4 1 7 0 121 -79,0.0 0.06382978723404255 0.14285714285714285 0.0392156862745098 0.0 0.2696629213483146 0.037037037037037035,7853.499504500714,0.025,265,17 2 0 5 0 97 -79,1.0 0.02127659574468085 0.0 0.0 0.0 0.0 0.037037037037037035,1002127.6966115051,0.008333333333333333,1,14 1 0 15 1 118 -74,0.5714285714285714 0.0 0.0 0.19607843137254902 0.3333333333333333 0.23595505617977527 0.2222222222222222,571660.5649660613,0.030952380952380953,133,11 4 0 10 0 108 -80,0.14285714285714285 0.06382978723404255 0.0 0.09803921568627451 0.0 0.12359550561797752 0.0,149339.39675128955,0.016666666666666666,133
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,27 7 1 17 0 212 -104,1.0 0.0 0.2 0.14285714285714285 0.0 0.0 0.25,1002143.1071428572,0.0125,1,25 17 4 28 0 259 -105,0.3333333333333333 0.6666666666666666 0.8 0.40476190476190477 0.0 0.5 0.0,408409.7619047619,0.039285714285714285,1148,25 7 0 11 0 229 -105,0.3333333333333333 0.0 0.0 0.0 0.0 0.18085106382978725 0.0,333335.1418439716,0.033928571428571426,806,27 7 1 17 0 212 -104,1.0 0.0 0.2 0.14285714285714285 0.0 0.0 0.25,1002143.1071428572,0.0125,1,25 20 5 53 1 306 -103,0.3333333333333333 0.8666666666666667 1.0 1.0 1.0 1.0 0.5,431110.5,0.05,769,25 12 0 18 0 218 -105,0.3333333333333333 0.3333333333333333 0.0 0.16666666666666666 0.0 0.06382978723404255 0.0,366833.97163120564,0.025892857142857145,994,27 7 1 17 0 212 -104,1.0 0.0 0.2 0.14285714285714285 0.0 0.0 0.25,1002143.1071428572,0.0125,1,25 22 0 17 0 232 -101,0.3333333333333333 1.0 0.0 0.14285714285714285 0.0 0.2127659574468085 1.0,433479.3181357649,0.03482142857142857,1154,24 8 0 19 0 232 -103,0.0 0.06666666666666667 0.0 0.19047619047619047 0.0 0.2127659574468085 0.5,6859.770516717326,0.029464285714285714,747
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,18 24 1 21 0 325 -82,1.0 0.031578947368421054 0.005847953216374269 0.08333333333333333 0.0 0.0 0.16666666666666666,1003299.8742690058,0.02214285714285714,1,18 22 0 10 0 339 -86,1.0 0.010526315789473684 0.0 0.0 0.0 0.04929577464788732 0.0,1001053.1245366939,0.03214285714285714,386,16 21 4 30 1 367 -77,0.0 0.0 0.023391812865497075 0.15151515151515152 0.25 0.14788732394366197 0.375,412.2871534095589,0.037142857142857144,440,18 24 1 21 0 325 -82,1.0 0.031578947368421054 0.005847953216374269 0.08333333333333333 0.0 0.0 0.16666666666666666,1003299.8742690058,0.02214285714285714,1,17 39 7 38 1 343 -80,0.5 0.18947368421052632 0.04093567251461988 0.21212121212121213 0.25 0.06338028169014084 0.25,519594.73016113695,0.03642857142857143,219,18 23 1 12 0 337 -77,1.0 0.021052631578947368 0.005847953216374269 0.015151515151515152 0.0 0.04225352112676056 0.375,1002179.6917404212,0.030714285714285715,78,18 24 1 21 0 325 -82,1.0 0.031578947368421054 0.005847953216374269 0.08333333333333333 0.0 0.0 0.16666666666666666,1003299.8742690058,0.02214285714285714,1,17 116 171 142 4 609 -62,0.5 1.0 1.0 1.0 1.0 1.0 1.0,611111.0,0.17,225,17 25 7 32 1 373 -79,0.5 0.042105263157894736 0.04093567251461988 0.16666666666666666 0.25 0.16901408450704225 0.2916666666666667,504813.5315151141,0.04071428571428572,286
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,18 168 555 709 182 1915 21,1.0 1.0 0.4307692307692308 1.0 0.0 0.07272727272727272 1.0,1105309.4195804195,0.016666666666666666,1,17 167 592 588 186 1990 21,0.0 0.75 1.0 0.0 0.25 0.7545454545454545 1.0,85033.54545454546,0.05,1067,17 167 574 592 190 1992 19,0.0 0.75 0.7230769230769231 0.03305785123966942 0.5 0.7727272727272727 0.0,82321.55435473619,0.04880952380952381,935,18 168 555 709 182 1915 21,1.0 1.0 0.4307692307692308 1.0 0.0 0.07272727272727272 1.0,1105309.4195804195,0.016666666666666666,1,17 166 552 598 183 1907 20,0.0 0.5 0.38461538461538464 0.08264462809917356 0.0625 0.0 0.5,53935.54847425302,0.047619047619047616,1027,17 168 547 628 198 1955 19,0.0 1.0 0.3076923076923077 0.3305785123966942 1.0 0.43636363636363634 0.0,103511.8652256834,0.047619047619047616,1129,18 168 555 709 182 1915 21,1.0 1.0 0.4307692307692308 1.0 0.0 0.07272727272727272 1.0,1105309.4195804195,0.016666666666666666,1,17 166 539 647 183 1983 21,0.0 0.5 0.18461538461538463 0.48760330578512395 0.0625 0.6909090909090909 1.0,52347.916242848056,0.04642857142857143,1093,17 164 527 655 187 2017 20,0.0 0.0 0.0 0.5537190082644629 0.3125 1.0 0.5,595.4690082644629,0.04642857142857143,1137
resolved-p28d-comp-is/resolved-p28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 107 -53,0.0 0.0 0.0 0.0 0.0 0.7058823529411765 0.1111111111111111,7.169934640522876,0.1,21,0 0 0 0 0 101 -37,0.0 0.0 0.0 0.0 0.0 0.35294117647058826 1.0,4.529411764705882,0.22142857142857142,5,0 0 0 0 0 110 -55,0.0 0.0 0.0 0.0 0.0 0.8823529411764706 0.0,8.823529411764707,0.09642857142857143,29,0 0 0 0 0 103 -52,0.0 0.0 0.0 0.0 0.0 0.47058823529411764 0.16666666666666666,4.872549019607844,0.1,11,0 0 0 0 0 103 -37,0.0 0.0 0.0 0.0 0.0 0.47058823529411764 1.0,5.705882352941177,0.2839285714285714,2,0 0 0 0 0 112 -52,0.0 0.0 0.0 0.0 0.0 1.0 0.16666666666666666,10.166666666666666,0.09464285714285714,19,0 0 0 0 0 111 -52,0.0 0.0 0.0 0.0 0.0 0.9411764705882353 0.16666666666666666,9.57843137254902,0.09821428571428571,9,0 0 0 0 0 95 -47,0.0 0.0 0.0 0.0 0.0 0.0 0.4444444444444444,0.4444444444444444,0.19464285714285715,13,0 0 0 0 0 109 -53,0.0 0.0 0.0 0.0 0.0 0.8235294117647058 0.1111111111111111,8.346405228758169,0.09821428571428571,9
