,mp-is1-p-hi-org-obj,mp-is1-p-hi-nrm-obj,mp-is1-p-hi-obj,mp-is1-p-hi-diff,mp-is1-p-hi-freq,mp-is1-p-low-org-obj,mp-is1-p-low-nrm-obj,mp-is1-p-low-obj,mp-is1-p-low-diff,mp-is1-p-low-freq,mp-is1-p-mid-org-obj,mp-is1-p-mid-nrm-obj,mp-is1-p-mid-obj,mp-is1-p-mid-diff,mp-is1-p-mid-freq,mp-is10-p-hi-org-obj,mp-is10-p-hi-nrm-obj,mp-is10-p-hi-obj,mp-is10-p-hi-diff,mp-is10-p-hi-freq,mp-is10-p-low-org-obj,mp-is10-p-low-nrm-obj,mp-is10-p-low-obj,mp-is10-p-low-diff,mp-is10-p-low-freq,mp-is10-p-mid-org-obj,mp-is10-p-mid-nrm-obj,mp-is10-p-mid-obj,mp-is10-p-mid-diff,mp-is10-p-mid-freq,mp-is100-p-hi-org-obj,mp-is100-p-hi-nrm-obj,mp-is100-p-hi-obj,mp-is100-p-hi-diff,mp-is100-p-hi-freq,mp-is100-p-low-org-obj,mp-is100-p-low-nrm-obj,mp-is100-p-low-obj,mp-is100-p-low-diff,mp-is100-p-low-freq,mp-is100-p-mid-org-obj,mp-is100-p-mid-nrm-obj,mp-is100-p-mid-obj,mp-is100-p-mid-diff,mp-is100-p-mid-freq
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73,0 0 0 0 0 181 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,73
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,33 167 8194 288 10 6707 -80,0.6666666666666666 1.0 0.8651162790697674 0.0 0.0 0.6666666666666666 0.5714285714285714,775325.0675526024,0,519,34 164 8252 295 11 6763 -77,1.0 0.0 1.0 1.0 1.0 0.9371980676328503 1.0,1011110.3719806763,0,495,31 167 7822 288 11 6569 -84,0.0 1.0 0.0 0.0 1.0 0.0 0.0,100100.0,0,605,31 167 7889 291 11 6689 -80,0.0 1.0 0.1558139534883721 0.42857142857142855 1.0 0.5797101449275363 0.5714285714285714,102093.07949347587,0,585,31 167 7875 290 11 6651 -81,0.0 1.0 0.12325581395348838 0.2857142857142857 1.0 0.3961352657004831 0.42857142857142855,101622.66234933474,0,590,31 167 7823 289 11 6571 -83,0.0 1.0 0.002325581395348837 0.14285714285714285 1.0 0.00966183574879227 0.14285714285714285,100266.35243231097,0,600,31 167 7822 288 11 6569 -83,0.0 1.0 0.0 0.0 1.0 0.0 0.14285714285714285,100100.14285714286,0,604,34 164 8231 293 10 6776 -78,1.0 0.0 0.9511627906976744 0.7142857142857143 0.0 1.0 0.8571428571428571,1010236.7707641196,0,501,31 167 7823 289 11 6571 -83,0.0 1.0 0.002325581395348837 0.14285714285714285 1.0 0.00966183574879227 0.14285714285714285,100266.35243231097,0,600
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4147 24419 1 11250 -232,0.0 0.0 0.0 1.0 0.0 1.0 0.0,1010.0,0,479,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478,27 5 4150 24277 1 11249 -231,0.0 0.0 1.0 0.0 0.0 0.0 1.0,10001.0,0,478
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,12 97 418 77 3 370 -2,0.0 0.0 1.0 0.05263157894736842 0.0 0.7894736842105263 0.5,10061.026315789473,0,3677,12 97 418 77 3 357 -4,0.0 0.0 1.0 0.05263157894736842 0.0 0.10526315789473684 0.0,10053.684210526315,0,3690,12 97 418 76 3 355 -3,0.0 0.0 1.0 0.0 0.0 0.0 0.25,10000.25,0,3732,12 98 417 82 3 365 -2,0.0 0.5 0.0 0.3157894736842105 0.0 0.5263157894736842 0.5,50321.552631578954,0,3190,12 97 418 76 3 358 -1,0.0 0.0 1.0 0.0 0.0 0.15789473684210525 0.75,10002.328947368422,0,3719,12 97 418 95 8 374 0,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0,3406,12 99 418 86 4 370 0,0.0 1.0 1.0 0.5263157894736842 0.2 0.7894736842105263 1.0,110555.21052631579,0,2744,12 97 418 77 3 363 -2,0.0 0.0 1.0 0.05263157894736842 0.0 0.42105263157894735 0.5,10057.342105263158,0,3682,12 98 417 81 3 359 -1,0.0 0.5 0.0 0.2631578947368421 0.0 0.21052631578947367 0.75,50266.01315789473,0,3197
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 1280 11783 0 3947 -85,0.0 0.0 0.0 0.11864406779661017 0.0 0.0 0.8571428571428571,119.50121065375303,0,314,0 0 1280 11839 0 3960 -84,0.0 0.0 0.0 0.2768361581920904 0.0 0.2765957446808511 1.0,280.6021156388989,0,299,0 0 1283 12049 0 3958 -89,0.0 0.0 0.1111111111111111 0.8700564971751412 0.0 0.23404255319148937 0.2857142857142857,1983.7937481038814,0,274,0 0 1280 11741 0 3951 -85,0.0 0.0 0.0 0.0 0.0 0.0851063829787234 0.8571428571428571,1.7082066869300911,0,322,0 0 1280 11783 0 3948 -86,0.0 0.0 0.0 0.11864406779661017 0.0 0.02127659574468085 0.7142857142857143,119.57111946834269,0,313,0 0 1307 12095 0 3994 -91,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,191,0 0 1280 11839 0 3956 -87,0.0 0.0 0.0 0.2768361581920904 0.0 0.19148936170212766 0.5714285714285714,279.32248038054024,0,301,0 0 1280 11741 0 3956 -85,0.0 0.0 0.0 0.0 0.0 0.19148936170212766 0.8571428571428571,2.7720364741641337,0,321,0 0 1280 11783 0 3948 -86,0.0 0.0 0.0 0.11864406779661017 0.0 0.02127659574468085 0.7142857142857143,119.57111946834269,0,313
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,28 240 0 64 6 644 -89,0.0 1.0 0.0 1.0 0.0 0.4444444444444444 0.0,101004.44444444444,0,695,28 240 0 63 6 644 -89,0.0 1.0 0.0 0.0 0.0 0.4444444444444444 0.0,100004.44444444444,0,703,28 240 0 64 6 644 -89,0.0 1.0 0.0 1.0 0.0 0.4444444444444444 0.0,101004.44444444444,0,695,28 240 0 63 6 644 -89,0.0 1.0 0.0 0.0 0.0 0.4444444444444444 0.0,100004.44444444444,0,703,28 240 0 64 6 644 -87,0.0 1.0 0.0 1.0 0.0 0.4444444444444444 1.0,101005.44444444444,0,693,28 240 0 63 6 649 -88,0.0 1.0 0.0 0.0 0.0 1.0 0.5,100010.5,0,701,28 240 0 63 6 644 -89,0.0 1.0 0.0 0.0 0.0 0.4444444444444444 0.0,100004.44444444444,0,703,29 236 0 63 6 640 -87,1.0 0.0 0.0 0.0 0.0 0.0 1.0,1000001.0,0,428,28 240 0 63 6 644 -89,0.0 1.0 0.0 0.0 0.0 0.4444444444444444 0.0,100004.44444444444,0,703
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,15 4 2446 20025 0 7257 -166,0.0 0.0 0.22 0.675 0.0 0.17582417582417584 0.75,2877.5082417582416,0,328,15 4 2447 20057 0 7268 -166,0.0 0.0 0.24 0.9416666666666667 0.0 0.2967032967032967 0.75,3345.3836996336995,0,322,15 4 2471 20040 0 7321 -169,0.0 0.0 0.72 0.8 0.0 0.8791208791208791 0.0,8008.791208791209,0,315,15 4 2485 20064 0 7332 -165,0.0 0.0 1.0 1.0 0.0 1.0 1.0,11011.0,0,286,15 4 2450 20040 0 7276 -166,0.0 0.0 0.3 0.8 0.0 0.38461538461538464 0.75,3804.596153846154,0,320,15 4 2455 20040 0 7289 -167,0.0 0.0 0.4 0.8 0.0 0.5274725274725275 0.5,4805.774725274725,0,318,15 4 2446 20025 0 7257 -165,0.0 0.0 0.22 0.675 0.0 0.17582417582417584 1.0,2877.7582417582416,0,327,15 4 2435 20025 0 7241 -166,0.0 0.0 0.0 0.675 0.0 0.0 0.75,675.75,0,334,15 4 2482 19944 0 7332 -165,0.0 0.0 0.94 0.0 0.0 1.0 1.0,9411.0,0,311
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,17 10 4051 24198 0 10965 -195,0.0 0.0 0.05555555555555555 0.4116022099447514 0.0 0.07142857142857142 0.0,967.8720512145926,0,567,17 10 4085 24049 0 11028 -191,0.0 0.0 0.6851851851851852 0.0 0.0 0.7142857142857143 1.0,6859.994708994709,0,552,17 10 4048 24090 0 10958 -193,0.0 0.0 0.0 0.1132596685082873 0.0 0.0 0.5,113.75966850828729,0,574,17 10 4085 24179 0 11012 -193,0.0 0.0 0.6851851851851852 0.35911602209944754 0.0 0.5510204081632653 0.5,7216.978078032933,0,536,17 10 4085 24150 0 11013 -194,0.0 0.0 0.6851851851851852 0.27900552486187846 0.0 0.5612244897959183 0.25,7136.71962161169,0,539,17 10 4086 24055 0 11016 -192,0.0 0.0 0.7037037037037037 0.016574585635359115 0.0 0.5918367346938775 0.75,7060.279990019335,0,520,17 10 4085 24146 0 11013 -192,0.0 0.0 0.6851851851851852 0.26795580110497236 0.0 0.5612244897959183 0.75,7126.169897854784,0,541,17 10 4102 24411 0 11056 -195,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,417,17 10 4085 24200 0 11012 -195,0.0 0.0 0.6851851851851852 0.4171270718232044 0.0 0.5510204081632653 0.0,7274.489127756689,0,534
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,18 125 2447 244 29 1900 33,0.0 0.0 0.00684931506849315 0.8095238095238095 1.0 0.0 0.6666666666666666,978.6836268754076,0,1215,18 125 2527 240 25 1900 34,0.0 0.0 0.5547945205479452 0.6190476190476191 0.42857142857142855 0.0 0.75,6210.599967384214,0,1153,18 125 2527 248 27 1909 34,0.0 0.0 0.5547945205479452 1.0 0.7142857142857143 0.42857142857142855 0.75,6624.409491193738,0,1095,18 125 2452 243 25 1900 33,0.0 0.0 0.0410958904109589 0.7619047619047619 0.42857142857142855 0.0 0.6666666666666666,1216.3874755381605,0,1201,18 125 2446 241 26 1902 35,0.0 0.0 0.0 0.6666666666666666 0.5714285714285714 0.09523809523809523 0.8333333333333334,725.5952380952381,0,1238,18 125 2527 243 25 1921 37,0.0 0.0 0.5547945205479452 0.7619047619047619 0.42857142857142855 1.0 1.0,6363.7071102413565,0,1126,18 125 2527 244 27 1909 35,0.0 0.0 0.5547945205479452 0.8095238095238095 0.7142857142857143 0.42857142857142855 0.8333333333333334,6434.01663405088,0,1109,18 125 2592 227 22 1902 25,0.0 0.0 1.0 0.0 0.0 0.09523809523809523 0.0,10000.952380952382,0,1055,18 125 2510 242 26 1906 33,0.0 0.0 0.4383561643835616 0.7142857142857143 0.5714285714285714 0.2857142857142857 0.6666666666666666,5158.514024787998,0,1167
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71,0 0 0 0 0 102 -24,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,71
