,mp-is1-p-hi-org-obj,mp-is1-p-hi-nrm-obj,mp-is1-p-hi-obj,mp-is1-p-hi-diff,mp-is1-p-hi-freq,mp-is1-p-low-org-obj,mp-is1-p-low-nrm-obj,mp-is1-p-low-obj,mp-is1-p-low-diff,mp-is1-p-low-freq,mp-is1-p-mid-org-obj,mp-is1-p-mid-nrm-obj,mp-is1-p-mid-obj,mp-is1-p-mid-diff,mp-is1-p-mid-freq,mp-is10-p-hi-org-obj,mp-is10-p-hi-nrm-obj,mp-is10-p-hi-obj,mp-is10-p-hi-diff,mp-is10-p-hi-freq,mp-is10-p-low-org-obj,mp-is10-p-low-nrm-obj,mp-is10-p-low-obj,mp-is10-p-low-diff,mp-is10-p-low-freq,mp-is10-p-mid-org-obj,mp-is10-p-mid-nrm-obj,mp-is10-p-mid-obj,mp-is10-p-mid-diff,mp-is10-p-mid-freq,mp-is100-p-hi-org-obj,mp-is100-p-hi-nrm-obj,mp-is100-p-hi-obj,mp-is100-p-hi-diff,mp-is100-p-hi-freq,mp-is100-p-low-org-obj,mp-is100-p-low-nrm-obj,mp-is100-p-low-obj,mp-is100-p-low-diff,mp-is100-p-low-freq,mp-is100-p-mid-org-obj,mp-is100-p-mid-nrm-obj,mp-is100-p-mid-obj,mp-is100-p-mid-diff,mp-is100-p-mid-freq
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 150 -96,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,145,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,0 441 2090 1572 195 3899 19,0.0 0.6190476190476191 1.0 0.8506493506493507 0.0 0.2785714285714286 0.1111111111111111,72758.30808080808,0,13533,0 445 2081 1595 208 3893 17,0.0 0.8095238095238095 0.75 1.0 0.2653061224489796 0.2357142857142857 0.0,89481.26870748299,0,13357,0 438 2054 1456 235 3874 26,0.0 0.47619047619047616 0.0 0.09740259740259741 0.8163265306122449 0.1 0.5,47799.58286951145,0,13746,0 428 2054 1441 240 3875 22,0.0 0.0 0.0 0.0 0.9183673469387755 0.10714285714285714 0.2777777777777778,93.1859410430839,0,14171,0 439 2072 1473 225 3972 27,0.0 0.5238095238095238 0.5 0.2077922077922078 0.6122448979591837 0.8 0.5555555555555556,57658.52463409606,0,13666,0 441 2090 1572 195 3899 19,0.0 0.6190476190476191 1.0 0.8506493506493507 0.0 0.2785714285714286 0.1111111111111111,72758.30808080808,0,13533,0 428 2054 1441 240 3875 22,0.0 0.0 0.0 0.0 0.9183673469387755 0.10714285714285714 0.2777777777777778,93.1859410430839,0,14171,0 449 2082 1587 230 4000 35,0.0 1.0 0.7777777777777778 0.948051948051948 0.7142857142857143 1.0 1.0,108808.25829725829,0,12742,0 429 2054 1445 244 3860 25,0.0 0.047619047619047616 0.0 0.025974025974025976 1.0 0.0 0.4444444444444444,4888.323232323231,0,14122
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,0 2 2532 808 486 8737 -4,0.0 0.0 0.34805890227576974 0.08727272727272728 1.0 0.42018196856906537 0.4523809523809524,3672.5159506684963,0,38600,0 2 2422 784 414 8619 19,0.0 0.0 0.20080321285140562 0.0 0.6230366492146597 0.3225806451612903 1.0,2074.561599887135,0,39485,0 2 3019 1054 341 9433 5,0.0 0.0 1.0 0.9818181818181818 0.24083769633507854 0.9958643507030603 0.6666666666666666,11016.527261625386,0,33431,0 2 2910 992 295 9340 8,0.0 0.0 0.8540829986613119 0.7563636363636363 0.0 0.9189412737799835 0.7380952380952381,9307.12113095265,0,36288,0 2 2932 997 321 9328 12,0.0 0.0 0.8835341365461847 0.7745454545454545 0.13612565445026178 0.9090157154673284 0.8333333333333334,9633.422875940334,0,35684,0 2 3019 1059 341 9438 6,0.0 0.0 1.0 1.0 0.24083769633507854 1.0 0.6904761904761905,11034.774245823985,0,33393,0 2 2272 879 356 8229 -23,0.0 0.0 0.0 0.34545454545454546 0.3193717277486911 0.0 0.0,377.39171822941455,0,40550,0 2 2936 1010 322 9329 15,0.0 0.0 0.8888888888888888 0.8218181818181818 0.14136125654450263 0.9098428453267163 0.9047619047619048,9734.84638671955,0,35625,0 2 2532 807 486 8728 0,0.0 0.0 0.34805890227576974 0.08363636363636363 1.0 0.41273779983457404 0.5476190476190477,3668.900383440026,0,38627
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 20 217 47 942 23,0.0 0.0 0.0 0.4810126582278481 0.25925925925925924 0.5175438596491229 1.0,513.1140227502652,0,21346,0 0 20 217 47 942 23,0.0 0.0 0.0 0.4810126582278481 0.25925925925925924 0.5175438596491229 1.0,513.1140227502652,0,21346,0 0 28 190 61 1077 5,0.0 0.0 0.19047619047619047 0.13924050632911392 0.7777777777777778 0.8135964912280702 0.64,2130.556153781077,0,20577,0 0 20 182 54 706 -25,0.0 0.0 0.0 0.0379746835443038 0.5185185185185185 0.0 0.04,89.86653539615565,0,21789,0 0 20 215 51 889 3,0.0 0.0 0.0 0.45569620253164556 0.4074074074074074 0.40131578947368424 0.6,501.05010116712316,0,21406,0 0 62 258 40 1162 9,0.0 0.0 1.0 1.0 0.0 1.0 0.72,11010.72,0,16924,0 0 26 234 67 1099 18,0.0 0.0 0.14285714285714285 0.6962025316455697 1.0 0.8618421052631579 0.9,2234.29238126963,0,20650,0 0 24 202 49 1021 20,0.0 0.0 0.09523809523809523 0.2911392405063291 0.3333333333333333 0.6907894736842105 0.94,1284.7014209574568,0,21045,0 0 20 179 53 721 -27,0.0 0.0 0.0 0.0 0.48148148148148145 0.03289473684210526 0.0,48.4770955165692,0,21881
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,0 259 852 728 141 1606 36,0.0 0.2857142857142857 0.23255813953488372 0.7011494252873564 0.0 0.38390092879256965 0.5454545454545454,31602.543855898144,0,36917,0 245 884 736 146 1730 36,0.0 0.1038961038961039 0.9767441860465116 0.7931034482758621 0.2777777777777778 0.7678018575851393 0.5454545454545454,20986.156949250453,0,37433,0 251 880 754 157 1749 31,0.0 0.18181818181818182 0.8837209302325582 1.0 0.8888888888888888 0.826625386996904 0.09090909090909091,28116.273535993532,0,37137,0 245 881 720 146 1733 35,0.0 0.1038961038961039 0.9069767441860465 0.6091954022988506 0.2777777777777778 0.7770897832817337 0.45454545454545453,20104.57645483484,0,37449,0 252 878 726 146 1692 41,0.0 0.19480519480519481 0.8372093023255814 0.6781609195402298 0.2777777777777778 0.6501547987616099 1.0,28566.052749080918,0,37065,0 251 884 730 152 1697 36,0.0 0.18181818181818182 0.9767441860465116 0.7241379310344828 0.6111111111111112 0.6656346749226006 0.5454545454545454,28741.710885723573,0,37107,0 237 842 667 159 1805 36,0.0 0.0 0.0 0.0 1.0 1.0 0.5454545454545454,110.54545454545455,0,37774,0 314 879 734 159 1482 30,0.0 1.0 0.8604651162790697 0.7701149425287356 1.0 0.0 0.0,109474.76610531943,0,33765,0 250 885 733 154 1751 30,0.0 0.16883116883116883 1.0 0.7586206896551724 0.7222222222222222 0.8328173374613003 0.0,27722.28796836889,0,37215
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,0 1 0 0 0 254 -106,0.0 0.0 0.0 0.0 0.0 0.0 0.5,0.5,0,18017,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018,0 1 0 0 0 254 -105,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,18016,0 1 0 0 0 254 -106,0.0 0.0 0.0 0.0 0.0 0.0 0.5,0.5,0,18017,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018,0 1 0 0 0 254 -105,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,18016,0 1 0 0 0 254 -105,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,18016
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,0 2 0 0 0 424 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.96875,0.96875,0,22921,0 2 0 0 0 424 -83,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,22920,0 2 0 0 0 424 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.96875,0.96875,0,22921,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,22905
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,0 18 1048 640 235 3483 30,0.0 0.0 0.16901408450704225 0.9016393442622951 1.0 0.4271356783919598 0.8846153846153846,2696.9361615012526,0,27688,0 25 1052 623 204 3588 33,0.0 0.4117647058823529 0.19718309859154928 0.6229508196721312 0.18421052631578946 0.9547738693467337 1.0,43800.22118514796,0,25741,0 22 1054 585 219 3488 19,0.0 0.23529411764705882 0.2112676056338028 0.0 0.5789473684210527 0.45226130653266333 0.46153846153846156,25704.96670941288,0,26664,0 18 1049 646 228 3558 31,0.0 0.0 0.176056338028169 1.0 0.8157894736842105 0.8040201005025126 0.9230769230769231,2851.1056055782137,0,27602,0 18 1054 599 225 3543 27,0.0 0.0 0.2112676056338028 0.22950819672131148 0.7368421052631579 0.7286432160804021 0.7692307692307693,2423.92412651569,0,27452,0 26 1079 623 233 3597 29,0.0 0.47058823529411764 0.3873239436619718 0.6229508196721312 0.9473684210526315 1.0 0.8461538461538461,51660.596781655026,0,25252,0 25 1045 620 197 3571 31,0.0 0.4117647058823529 0.14788732394366197 0.5737704918032787 0.0 0.8693467336683417 0.9230769230769231,43238.73086373495,0,25816,0 35 1166 639 218 3398 7,0.0 1.0 1.0 0.8852459016393442 0.5526315789473685 0.0 0.0,110940.50905953407,0,23574,0 22 1024 593 217 3510 19,0.0 0.23529411764705882 0.0 0.13114754098360656 0.5263157894736842 0.5628140703517588 0.46153846153846156,23719.280563801913,0,26734
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166
