,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 459 -46,0.0 0.0 0.0 0.0 0.0 1.0 0.8,10.8,0.4595238095238095,82,0 0 0 0 0 372 -58,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6392857142857142,101,0 0 0 0 0 437 -43,0.0 0.0 0.0 0.0 0.0 0.7471264367816092 1.0,8.471264367816092,0.4738095238095238,51
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,33 208 3761 1524 439 6250 -21,1.0 1.0 0.21485411140583555 1.0 1.0 0.9253731343283582 0.0,1103257.7948454015,0.008571428571428572,684,18 180 3599 1058 232 6270 90,0.0 0.0 0.0 0.023060796645702306 0.3611111111111111 1.0 1.0,70.17190775681341,0.8128571428571428,4563,19 202 4353 1047 115 6002 82,0.06666666666666667 0.7857142857142857 1.0 0.0 0.0 0.0 0.9279279279279279,155239.02316602317,0.8042857142857143,4419
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,22 12 3488 12391 3 9806 -15,1.0 0.0 1.0 1.0 0.0 1.0 0.0,1011010.0,0.6335714285714286,4227,19 12 3183 11444 6 9172 -5,0.0 0.0 0.18010752688172044 0.26872586872586873 1.0 0.0 1.0,2170.8011375430733,0.6507142857142857,5441,22 13 3116 11096 4 9566 -12,1.0 1.0 0.0 0.0 0.3333333333333333 0.6214511041009464 0.3,1100039.8478443744,0.6442857142857142,5154
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,4 6 0 11 0 79 -16,1.0 0.625 0.0 0.08108108108108109 0.0 0.0 0.0,1062581.0810810812,0.025,397,0 9 51 79 18 492 4,0.0 1.0 1.0 1.0 1.0 1.0 1.0,111111.0,0.7571428571428571,20023,0 1 0 5 0 169 -11,0.0 0.0 0.0 0.0 0.0 0.2179176755447942 0.25,2.429176755447942,0.6678571428571428,22051
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,15 4 5 169 22 1100 28,1.0 1.0 0.0 0.0 1.0 0.0 0.0,1100100.0,0.014285714285714285,1044,0 0 660 1252 15 2273 59,0.0 0.0 0.8815612382234186 0.452569995821145 0.5625 0.7096188747731398 0.7380952380952381,9332.266662041156,0.6630952380952381,4428,0 0 748 2562 6 2753 70,0.0 0.0 1.0 1.0 0.0 1.0 1.0,11011.0,0.6178571428571429,4343
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,18 2 0 5 0 96 -79,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.008333333333333333,1009,18 271 76 280 19 810 53,1.0 1.0 0.18052256532066507 0.7432432432432432 0.18269230769230768 0.6704225352112676 0.9041095890410958,1102574.3464621603,0.6059523809523809,8992,11 241 421 375 104 1161 67,0.0 0.8884758364312267 1.0 1.0 1.0 1.0 1.0,99958.58364312268,0.6035714285714285,8008
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,13 36 1610 5831 13 5426 95,1.0 1.0 0.7722772277227723 0.0 1.0 0.0630841121495327 1.0,1107824.4031183494,0.6410714285714286,5133,10 15 1633 6719 6 5827 68,0.0 0.3 1.0 0.9844789356984479 0.3 1.0 0.5,41024.97893569845,0.6678571428571428,5666,12 6 1532 6733 3 5399 41,0.6666666666666666 0.0 0.0 1.0 0.0 0.0 0.0,667666.6666666666,0.6580357142857143,7054
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,16 37 3179 11910 8 9275 75,1.0 1.0 0.9266917293233082 0.5301323570825119 0.8333333333333334 0.49436795994993743 0.6065573770491803,1109885.9332206256,0.6307142857142857,4836,12 24 3218 15247 3 9679 1,0.42857142857142855 0.48 1.0 1.0 0.0 1.0 0.0,487581.4285714285,0.67,3346,9 12 2686 8145 9 8880 123,0.0 0.0 0.0 0.0 1.0 0.0 1.0,101.0,0.6592857142857143,4608
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,19 168 556 709 182 1924 21,0.0 0.0 1.0 1.0 1.0 1.0 0.0,11110.0,0.016666666666666666,1189,20 286 424 389 69 925 62,0.2 1.0 0.7053571428571429 0.32346723044397463 0.29375 0.075 1.0,307408.1636590154,0.7226190476190476,7741,24 203 108 236 22 844 48,1.0 0.2966101694915254 0.0 0.0 0.0 0.0 0.6585365853658537,1029661.675485738,0.7226190476190476,8561
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 230 -37,0.0 0.0 0.0 0.0 0.0 0.838150289017341 0.8666666666666667,9.248169556840077,0.4767857142857143,65,0 0 0 0 0 85 -50,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6053571428571428,185,0 0 0 0 0 258 -35,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.5017857142857143,28
