,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s8,33 208 3761 1524 439 6250 -21,1.0 0.0 1.0 1.0 1.0 1.0 0.0,1011110.0,0.008571428571428572,684,7 382 3504 1384 320 5697 47,0.0 1.0 0.7998442367601246 0.6634615384615384 0.43333333333333335 0.6397394136807818 0.6181818181818182,108712.2528153511,0.8121428571428572,12094,8 379 2477 1108 229 4715 89,0.038461538461538464 0.9827586206896551 0.0 0.0 0.0 0.0 1.0,136738.40053050398,0.785,14619
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s3,20 153 2228 1068 114 6158 113,1.0 1.0 0.0 0.0 0.07692307692307693 0.0 0.9722222222222222,1100008.6645299145,0.5428571428571428,25039,0 40 2758 1210 402 9092 43,0.0 0.017391304347826087 1.0 1.0 1.0 1.0 0.0,12849.130434782608,0.6592857142857143,28508,5 38 2253 1152 90 6265 115,0.25 0.0 0.04716981132075472 0.5915492957746479 0.0 0.03646898432174506 1.0,251064.61209882543,0.6564285714285715,28552
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s8,6 6 0 12 0 79 -16,1.0 1.0 0.0 1.0 0.0 0.0 0.3333333333333333,1101000.3333333333,0.025,391,0 1 0 2 0 95 -18,0.0 0.0 0.0 0.0 0.0 0.19047619047619047 0.0,1.9047619047619047,0.6142857142857143,26175,0 1 0 2 0 163 -12,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.48928571428571427,22280
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s5,14 4 3 170 22 1091 28,1.0 1.0 0.041666666666666664 0.9767441860465116 0.6875 1.0 0.9906542056074766,1101473.151506919,0.014285714285714285,1045,0 0 2 2 0 190 -78,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6726190476190477,10857,0 0 26 174 32 892 29,0.0 0.0 1.0 1.0 1.0 0.779134295227525 1.0,11108.791342952276,0.6702380952380952,18565
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s9,18 2 0 5 0 96 -79,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.008333333333333333,1009,1 295 751 918 163 1628 44,0.05555555555555555 1.0 0.804930332261522 1.0 0.815 0.7128897161470451 1.0,164694.48777533227,0.7761904761904762,35235,0 241 933 841 200 2245 32,0.0 0.8156996587030717 1.0 0.9156626506024096 1.0 1.0 0.9024390243902439,92596.53095993397,0.7785714285714286,29420
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s7,13 203 1648 833 130 3770 95,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.5964285714285714,34489,0 5 751 587 46 3488 20,0.0 0.0 0.0 0.14583333333333334 0.0 0.0 0.0,145.83333333333334,0.6839285714285714,39137,0 45 1214 545 119 3699 60,0.0 0.20202020202020202 0.5161649944258639 0.0 0.8690476190476191 0.74822695035461 0.5333333333333333,25458.590511020484,0.7214285714285714,40953
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s4,9 178 1833 1290 125 5653 194,1.0 1.0 0.7992779783393502 1.0 0.38461538461538464 0.535703340484217 1.0,1109037.5983552597,0.5557142857142857,22791,0 11 2111 941 237 7168 114,0.0 0.05113636363636364 1.0 0.5554140127388535 1.0 1.0 0.23076923076923078,15779.281145605986,0.7014285714285714,27734,0 2 726 505 55 3905 90,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6635714285714286,27565
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s6,18 168 555 709 182 1915 21,1.0 0.0 0.0 0.0 0.5454545454545454 1.0 0.0,1000064.5454545454,0.016666666666666666,1190,0 337 1010 1276 164 1472 33,0.0 1.0 0.9459459459459459 1.0 0.0 0.0 0.6666666666666666,110460.12612612614,0.794047619047619,22601,2 305 1036 976 197 1619 39,0.1111111111111111 0.8106508875739645 1.0 0.4708994708994709 1.0 0.33182844243792325 1.0,202751.4176238314,0.7666666666666667,21375
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 230 -37,0.0 0.0 0.0 0.0 0.0 0.8461538461538461 0.8571428571428571,9.31868131868132,0.4767857142857143,65,0 0 0 0 0 76 -49,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6392857142857142,198,0 0 0 0 0 258 -35,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.5017857142857143,28
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s6,15 114 1940 944 78 6166 96,1.0 1.0 0.3192227619708536 1.0 0.10612244897959183 0.38190954773869346 1.0,1104207.658960084,0.5942857142857143,25214,0 7 2921 897 297 7642 55,0.0 0.044642857142857144 1.0 0.8825 1.0 1.0 0.1276595744680851,15456.913373860181,0.6942857142857143,22748,0 2 1480 544 52 5254 49,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6364285714285715,27757
