,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 442 -49,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.4773809523809524,46,0 0 0 0 0 393 -30,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0.5023809523809524,71,0 0 0 0 0 437 -43,0.0 0.0 0.0 0.0 0.0 0.8979591836734694 0.3157894736842105,9.295381310418904,0.4738095238095238,51
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,54 163 22081 1319 2049 16300 -9,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.6114285714285714,179,36 117 9525 374 13 8138 -30,0.1 0.0 0.0 0.0 0.0004909180166912126 0.0357944477259303 0.4878048780487805,100000.89484115699,0.8042857142857143,410,34 117 9792 421 12 7835 -50,0.0 0.0 0.02126473399171711 0.04973544973544974 0.0 0.0 0.0,262.38278965262083,0.8042857142857143,452
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,27 9 4013 23618 0 10928 -220,0.0 1.0 0.0 0.0 0.0 0.0 1.0,100001.0,0.6435714285714286,638,27 5 4168 25151 0 11303 -247,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.6414285714285715,475,27 5 4144 24541 0 11174 -236,0.0 0.0 0.8451612903225807 0.6020874103065884 0.0 0.656 0.4074074074074074,9060.667720939802,0.6435714285714286,574
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,4 6 0 11 0 79 -16,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.025,397,7 82 0 13 0 286 -2,0.75 1.0 0.0 0.3333333333333333 0.0 0.8553719008264463 0.9333333333333333,850342.820385675,0.725,2687,8 69 8 17 1 321 -1,1.0 0.8289473684210527 1.0 1.0 1.0 1.0 1.0,1094005.7368421052,0.6142857142857143,2832
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,11 72 721 2525 7 2503 43,1.0 1.0 0.0 0.0 1.0 0.0 1.0,1100101.0,0.32857142857142857,516,0 0 1346 12110 1 4059 -86,0.0 0.0 0.9659969088098919 0.9133790737564322 0.14285714285714285 0.9546012269938651 0.1456953642384106,10597.325583775242,0.6440476190476191,243,0 0 1368 13019 0 4133 -108,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.6416666666666667,136
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,36 278 112 127 13 497 -59,1.0 1.0 1.0 0.9574468085106383 1.0 0.0 0.0,1111057.4468085107,0.26904761904761904,562,21 258 19 82 6 864 -33,0.0 0.25925925925925924 0.0 0.0 0.0 0.9175 0.7027027027027027,25935.803628628626,0.6059523809523809,1095,22 251 25 129 10 897 -22,0.06666666666666667 0.0 0.06451612903225806 1.0 0.5714285714285714 1.0 1.0,68379.9708141321,0.6011904761904762,531
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,15 6 2608 20850 0 7509 -166,0.0 0.0 1.0 1.0 0.0 1.0 1.0,11011.0,0.6616071428571428,99,15 6 2521 20804 0 7365 -195,0.0 0.0 0.2809917355371901 0.7142857142857143 0.0 0.2835820895522388 0.06451612903225806,3527.10340668217,0.6616071428571428,878,15 6 2487 20689 0 7308 -197,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6625,999
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,18 12 4268 25369 0 11333 -194,0.0 1.0 0.0 0.0 0.0 0.0 1.0,100001.0,0.6421428571428571,401,18 7 4320 25948 1 11498 -194,0.0 0.0 0.6419753086419753 0.7824324324324324 1.0 0.6021897810218978 1.0,7309.207416662404,0.66,38,18 7 4349 26109 0 11607 -197,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.66,128
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,37 357 425 471 63 1146 41,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.4107142857142857,523,28 255 3 79 4 781 -25,0.0 0.0 0.0 0.0 0.0 0.0 0.029411764705882353,0.029411764705882353,0.7226190476190476,1122,28 255 13 79 6 782 -27,0.0 0.0 0.023696682464454975 0.0 0.03389830508474576 0.0027397260273972603 0.0,240.3840524132983,0.7226190476190476,520
resolved-p28d-comp-ps/resolved-p28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 259 -26,0.0 0.0 0.0 0.0 0.0 0.1836734693877551 1.0,2.836734693877551,0.4982142857142857,31,0 0 0 0 0 250 -29,0.0 0.0 0.0 0.0 0.0 0.0 0.5714285714285714,0.5714285714285714,0.5285714285714286,37,0 0 0 0 0 299 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.5035714285714286,25
