,lnps-10-org-obj,lnps-10-nrm-obj,lnps-10-obj,lnps-10-diff,lnps-10-freq,lnps-30-org-obj,lnps-30-nrm-obj,lnps-30-obj,lnps-30-diff,lnps-30-freq,lnps-60-org-obj,lnps-60-nrm-obj,lnps-60-obj,lnps-60-diff,lnps-60-freq,mp-is-p-hi-org-obj,mp-is-p-hi-nrm-obj,mp-is-p-hi-obj,mp-is-p-hi-diff,mp-is-p-hi-freq,mp-is-p-low-org-obj,mp-is-p-low-nrm-obj,mp-is-p-low-obj,mp-is-p-low-diff,mp-is-p-low-freq,mp-is-p-mid-org-obj,mp-is-p-mid-nrm-obj,mp-is-p-mid-obj,mp-is-p-mid-diff,mp-is-p-mid-freq,mp-p-hi-org-obj,mp-p-hi-nrm-obj,mp-p-hi-obj,mp-p-hi-diff,mp-p-hi-freq,mp-p-low-org-obj,mp-p-low-nrm-obj,mp-p-low-obj,mp-p-low-diff,mp-p-low-freq,mp-p-mid-org-obj,mp-p-mid-nrm-obj,mp-p-mid-obj,mp-p-mid-diff,mp-p-mid-freq
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 208 -74,0.0 0.0 0.0 0.0 0.0 0.08746355685131195 0.3157894736842105,1.19042504219733,0.05952380952380952,94.0,0 0 0 0 0 228 -60,0.0 0.0 0.0 0.0 0.0 0.1457725947521866 0.6842105263157895,2.1419364738376556,0.07857142857142857,77,0 0 0 0 0 213 -74,0.0 0.0 0.0 0.0 0.0 0.10204081632653061 0.3157894736842105,1.3361976369495165,0.05238095238095238,90,0 0 0 0 0 178 -73,0.0 0.0 0.0 0.0 0.0 0.0 0.34210526315789475,0.34210526315789475,0.05,87,0 0 0 0 0 213 -76,0.0 0.0 0.0 0.0 0.0 0.10204081632653061 0.2631578947368421,1.2835660580021482,0.2857142857142857,8,0 0 0 0 0 192 -86,0.0 0.0 0.0 0.0 0.0 0.04081632653061224 0.0,0.4081632653061224,0.05,68,0 0 0 0 0 505 -50,0.0 0.0 0.0 0.0 0.0 0.9533527696793003 0.9473684210526315,10.480896117845635,0.2523809523809524,95,0 0 0 0 0 418 -64,0.0 0.0 0.0 0.0 0.0 0.6997084548104956 0.5789473684210527,7.576031916526009,0.35714285714285715,30,0 0 0 0 0 521 -48,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.28809523809523807,59
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s8,30 102 3853 4625 153 8695 -225,0.0 0.06611570247933884 0.0 0.9990704159888449 1.0 0.8657453109575518 0.0,7719.298117032305,0.01,578.0,30 102 3856 4625 153 8697 -225,0.0 0.06611570247933884 0.00045634317006388805 0.9990704159888449 1.0 0.8677196446199408 0.0,7723.881292069567,0.01,577,30 102 3857 4629 153 8701 -224,0.0 0.06611570247933884 0.000608457560085184 1.0 1.0 0.8716683119447186 0.004424778761061947,7726.3759314329445,0.01,575,30 101 3987 4107 153 8831 -196,0.0 0.05785123966942149 0.020383328262853665 0.8786892865442715 1.0 1.0 0.12831858407079647,6977.774854699029,0.01,48,30 102 3853 4533 153 8696 -205,0.0 0.06611570247933884 0.0 0.9776899837322798 1.0 0.8667324777887463 0.08849557522123894,7698.016052019272,0.01,620,30 102 3856 4521 153 8692 -209,0.0 0.06611570247933884 0.00045634317006388805 0.9749012316988148 1.0 0.8627838104639685 0.07079646017699115,7699.733545898154,0.01,595,74 215 10427 932 41 7863 -2,1.0 1.0 1.0 0.14083197768998373 0.2 0.044422507403751234 0.9867256637168141,1110162.2629284277,0.5685714285714286,267,32 94 9747 391 14 7818 1,0.045454545454545456 0.0 0.8965622147855187 0.015105740181268883 0.007142857142857143 0.0 1.0,54436.9876282962,0.8128571428571428,546,30 109 9172 326 13 7879 -67,0.0 0.12396694214876033 0.8090964405232735 0.0 0.0 0.060217176702862786 0.6991150442477876,20488.95990692005,0.8128571428571428,537
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s3,22 15 2006 4428 1 5636 -150,0.0 1.0 0.0017050298380221654 0.0016675401400733719 0.5 0.03370418848167539 1.0,100070.05488040512,0.012857142857142857,553.0,22 15 2003 4393 2 5636 -151,0.0 1.0 0.00042625745950554135 0.0 1.0 0.03370418848167539 0.99,100105.58961647988,0.012857142857142857,567,22 15 2002 4413 2 5636 -150,0.0 1.0 0.0 0.0009528800800419267 1.0 0.03370418848167539 1.0,100102.28992196487,0.012857142857142857,572,24 12 2147 5372 0 5430 -229,0.4 0.5 0.06180733162830349 0.046643479918052316 0.0 0.0 0.21,450664.92679620115,0.012857142857142857,144,24 12 2149 5273 0 5524 -230,0.4 0.5 0.06265984654731457 0.041926723521844775 0.0 0.015379581151832461 0.2,450668.87898480654,0.012857142857142857,96,24 12 2149 5273 0 5524 -230,0.4 0.5 0.06265984654731457 0.041926723521844775 0.0 0.015379581151832461 0.2,450668.87898480654,0.012857142857142857,96,27 9 4348 25382 0 11542 -226,1.0 0.0 1.0 1.0 0.0 1.0 0.24,1011010.24,0.6514285714285715,28,26 11 4179 25278 1 11364 -249,0.8 0.3333333333333333 0.9279624893435635 0.995045023583782 0.5 0.9708769633507853 0.01,843667.7220199864,0.6542857142857142,838,26 11 4244 25236 1 11449 -250,0.8 0.3333333333333333 0.9556692242114238 0.9930439754156939 0.5 0.9847840314136126 0.0,843942.9173911774,0.65,794
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s8,2 3 28 319 2 268 -15,0.1111111111111111 0.012658227848101266 0.5 0.941358024691358 1.0 0.5524861878453039 0.16666666666666666,118423.98344915772,0.03571428571428571,3195.0,2 3 28 319 2 269 -17,0.1111111111111111 0.012658227848101266 0.5 0.941358024691358 1.0 0.5580110497237569 0.08333333333333333,118423.95536444316,0.03571428571428571,3189,2 3 30 330 2 281 -19,0.1111111111111111 0.012658227848101266 0.5384615384615384 0.9753086419753086 1.0 0.6243093922651933 0.0,118843.10101643458,0.03571428571428571,2864,1 2 12 188 0 179 -15,0.0 0.0 0.19230769230769232 0.5370370370370371 0.0 0.06077348066298342 0.16666666666666666,2460.8883615872564,0.03571428571428571,2633,3 2 50 338 1 328 -11,0.2222222222222222 0.0 0.9230769230769231 1.0 0.5 0.8839779005524862 0.3333333333333333,232512.1645653303,0.05,3783,2 3 54 331 1 342 -5,0.1111111111111111 0.012658227848101266 1.0 0.9783950617283951 0.5 0.9613259668508287 0.5833333333333334,123415.52555065147,0.05,3718,2 9 8 20 0 168 -14,0.1111111111111111 0.08860759493670886 0.11538461538461539 0.018518518518518517 0.0 0.0 0.20833333333333334,121144.44361048001,0.03571428571428571,2472,10 81 9 21 1 349 5,1.0 1.0 0.1346153846153846 0.021604938271604937 0.5 1.0 1.0,1101428.7587844254,0.7,3094,10 81 2 14 0 324 -8,1.0 1.0 0.0 0.0 0.0 0.861878453038674 0.4583333333333333,1100009.0771178636,0.6214285714285714,3237
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s5,13 4 689 3345 8 2427 -86,0.5652173913043478 0.09302325581395349 0.03138373751783167 0.13176895306859207 1.0 0.11319770474700053 0.17518248175182483,575066.6303735193,0.01904761904761905,1222.0,13 4 691 3374 8 2430 -78,0.5652173913043478 0.09302325581395349 0.034236804564907276 0.13438628158844765 1.0 0.11476264997391758 0.23357664233576642,575097.8524161227,0.01904761904761905,1178,13 4 692 3360 8 2429 -80,0.5652173913043478 0.09302325581395349 0.03566333808844508 0.13312274368231047 1.0 0.11424100156494522 0.21897810218978103,575110.8343984277,0.01904761904761905,1149,15 4 738 3167 8 2493 -64,0.6521739130434783 0.09302325581395349 0.10128388017118402 0.11570397111913358 1.0 0.1476264997391758 0.3357664233576642,662706.5934291253,0.01904761904761905,22,13 4 687 3305 8 2422 -78,0.5652173913043478 0.09302325581395349 0.028530670470756064 0.12815884476534295 1.0 0.11058946270213876 0.23357664233576642,575034.5219064854,0.01904761904761905,1046,13 4 667 3372 8 2401 -74,0.5652173913043478 0.09302325581395349 0.0 0.1342057761732852 1.0 0.09963484611371935 0.26277372262773724,574755.1817841001,0.01904761904761905,1181,23 43 757 1885 8 2210 27,1.0 1.0 0.12838801711840228 0.0 1.0 0.0 1.0,1101384.880171184,0.01904761904761905,550,0 0 1368 12192 0 4102 -96,0.0 0.0 1.0 0.9302346570397112 0.0 0.9869587897756912 0.10218978102189781,10940.206434718491,0.6428571428571429,197,0 0 1352 12965 0 4127 -110,0.0 0.0 0.9771754636233951 1.0 0.0 1.0 0.0,10781.75463623395,0.6452380952380953,167
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s9,18 105 5 61 5 287 -61,0.0 0.0 0.007462686567164179 0.1485148514851485 0.3125 0.005970149253731343 0.30952380952380953,254.76094245885142,0.009523809523809525,975.0,18 105 5 62 5 292 -60,0.0 0.0 0.007462686567164179 0.15841584158415842 0.3125 0.013432835820895522 0.3333333333333333,264.7603689473425,0.009523809523809525,933,18 105 5 57 5 283 -63,0.0 0.0 0.007462686567164179 0.10891089108910891 0.3125 0.0 0.2619047619047619,215.04966152265547,0.009523809523809525,998,23 134 10 60 1 561 -56,0.38461538461538464 0.19333333333333333 0.04477611940298507 0.13861386138613863 0.0625 0.41492537313432837 0.42857142857142855,404545.92082929384,0.009523809523809525,932,21 120 4 46 0 309 -74,0.23076923076923078 0.1 0.0 0.0 0.0 0.03880597014925373 0.0,240769.61882893226,0.009523809523809525,931,21 120 4 46 0 305 -72,0.23076923076923078 0.1 0.0 0.0 0.0 0.03283582089552239 0.047619047619047616,240769.60674648738,0.009523809523809525,943,19 136 10 147 3 438 -65,0.07692307692307693 0.20666666666666667 0.04477611940298507 1.0 0.1875 0.23134328358208955 0.21428571428571427,99058.78250232355,0.009523809523809525,781,29 240 25 102 16 953 -32,0.8461538461538461 0.9 0.15671641791044777 0.5544554455445545 1.0 1.0 1.0,938386.4657784952,0.6476190476190476,1103,31 255 138 70 12 740 -37,1.0 1.0 1.0 0.2376237623762376 0.75 0.682089552238806 0.8809523809523809,1110320.3256102796,0.6214285714285714,1155
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s7,21 5 1066 4550 1 3140 -146,0.8571428571428571 0.2 0.0 0.01749655461681347 1.0 0.0011441647597254005 0.6086956521739131,877260.9738347736,0.007142857142857143,679.0,22 5 1101 4595 1 3221 -150,1.0 0.2 0.02280130293159609 0.020192941458445683 1.0 0.019679633867276888 0.5507246376811594,1020348.9534917508,0.007142857142857143,482,21 5 1067 4535 1 3135 -147,0.8571428571428571 0.2 0.0006514657980456026 0.016597759002936065 1.0 0.0 0.5942028985507246,877266.563762739,0.007142857142857143,645,22 5 1129 4376 1 3305 -146,1.0 0.2 0.04104234527687296 0.00707052549583558 1.0 0.038901601830663615 0.6086956521739131,1020518.491689935,0.007142857142857143,259,20 17 1121 4334 1 3308 -124,0.7142857142857143 1.0 0.035830618892508145 0.004553897776978849 1.0 0.03958810068649886 0.927536231884058,814749.8977896551,0.04107142857142857,269,20 14 1134 4258 1 3318 -119,0.7142857142857143 0.8 0.04429967426710098 0.0 1.0 0.04187643020594966 1.0,794830.1297926874,0.04285714285714286,314,16 6 2601 20947 0 7505 -169,0.14285714285714285 0.26666666666666666 1.0 1.0 0.0 1.0 0.2753623188405797,180534.08488612834,0.6464285714285715,28,15 2 2424 20289 1 7284 -188,0.0 0.0 0.8846905537459283 0.9605728324045779 1.0 0.9494279176201373 0.0,9916.97264904006,0.6392857142857142,917,15 3 2489 20450 0 7374 -173,0.0 0.06666666666666667 0.9270358306188925 0.970219905326862 0.0 0.9700228832951945 0.21739130434782608,16917.162498319758,0.6410714285714286,332
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s4,24 17 2007 5230 0 5195 -128,0.8571428571428571 1.0 0.0 0.0 0.0 0.0012470771628994544 1.0,957143.8696136287,0.03571428571428571,552.0,24 17 2011 5293 0 5190 -138,0.8571428571428571 1.0 0.0017079419299743809 0.0030041485861427688 0.0 0.0004676539360872954 0.8529411764705882,957163.7983284588,0.03571428571428571,471,24 17 2007 5306 0 5187 -133,0.8571428571428571 1.0 0.0 0.003624052262648419 0.0 0.0 0.9264705882352942,957147.4076657079,0.03571428571428571,510,25 14 2144 6153 0 5515 -179,1.0 0.7 0.058497011101622545 0.0440131610319012 0.0 0.051130163678877634 0.25,1070629.7445736849,0.03571428571428571,100,25 14 2144 6153 0 5520 -163,1.0 0.7 0.058497011101622545 0.0440131610319012 0.0 0.05190958690568979 0.4852941176470588,1070629.9876620348,0.15,337,25 14 2144 6113 2 5518 -168,1.0 0.7 0.058497011101622545 0.042105765104191506 1.0 0.05159781761496492 0.4117647058823529,1070728.0036190024,0.11714285714285715,166,18 7 4199 26171 0 11421 -190,0.0 0.0 0.9359521776259607 0.9985694530542177 0.0 0.9717848791893998 0.08823529411764706,10367.897313399835,0.6471428571428571,842,18 7 4292 25902 1 11454 -195,0.0 0.0 0.9756618274978651 0.98574221544037 0.5 0.9769290724863601 0.014705882352941176,10802.144487026238,0.6542857142857142,70,18 7 4349 26201 0 11602 -196,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.6528571428571428,66
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s6,11 88 760 2494 46 2614 -67,0.0 0.0 0.0 0.8980446927374302 0.09090909090909091 0.5702066999287242 0.013888888888888888,912.8515577165155,0.011904761904761904,780.0,11 88 760 2489 47 2613 -64,0.0 0.0 0.0 0.8957169459962756 0.10606060606060606 0.5694939415538133 0.034722222222222224,912.0526682400965,0.011904761904761904,783,11 88 760 2352 46 2600 -65,0.0 0.0 0.0 0.8319366852886406 0.09090909090909091 0.5602280826799715 0.027777777777777776,846.6576529841274,0.011904761904761904,837,11 88 956 2713 45 3217 -69,0.0 0.0 0.0842286205414697 1.0 0.07575757575757576 1.0 0.0,1859.8619629904547,0.011904761904761904,23,11 88 792 2581 46 2667 -58,0.0 0.0 0.013751611516974646 0.9385474860335196 0.09090909090909091 0.6079828937990022 0.0763888888888889,1091.310728121054,0.011904761904761904,404,11 88 790 2580 45 2667 -59,0.0 0.0 0.01289213579716373 0.9380819366852886 0.07575757575757576 0.6079828937990022 0.06944444444444445,1080.7283256151177,0.011904761904761904,426,39 272 2222 1237 106 2019 36,1.0 1.0 0.6282767511817792 0.3128491620111732 1.0 0.14611546685673557 0.7291666666666666,1106697.8069951644,0.02857142857142857,633,23 210 3087 565 40 1814 64,0.42857142857142855 0.6630434782608695 1.0 0.0 0.0 0.0 0.9236111111111112,504876.70000862656,0.7761904761904762,995,25 229 2311 621 49 1916 75,0.5 0.7663043478260869 0.6665234207133649 0.0260707635009311 0.13636363636363635 0.07270135424091233 1.0,583337.103130422,0.7952380952380952,804
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 106 -44,0.0 0.0 0.0 0.0 0.0 1.0 0.2727272727272727,10.272727272727273,0.10714285714285714,78.0,0 0 0 0 0 87 -41,0.0 0.0 0.0 0.0 0.0 0.09523809523809523 0.4090909090909091,1.3614718614718615,0.07857142857142857,142,0 0 0 0 0 87 -41,0.0 0.0 0.0 0.0 0.0 0.09523809523809523 0.4090909090909091,1.3614718614718615,0.07857142857142857,142,0 0 0 0 0 96 -35,0.0 0.0 0.0 0.0 0.0 0.5238095238095238 0.6818181818181818,5.91991341991342,0.07857142857142857,111,0 0 0 0 0 96 -34,0.0 0.0 0.0 0.0 0.0 0.5238095238095238 0.7272727272727273,5.965367965367966,0.2857142857142857,11,0 0 0 0 0 87 -50,0.0 0.0 0.0 0.0 0.0 0.09523809523809523 0.0,0.9523809523809523,0.07857142857142857,84,0 0 0 0 0 85 -46,0.0 0.0 0.0 0.0 0.0 0.0 0.18181818181818182,0.18181818181818182,0.07857142857142857,278,0 0 0 0 0 102 -28,0.0 0.0 0.0 0.0 0.0 0.8095238095238095 1.0,9.095238095238095,0.5642857142857143,101,0 0 0 0 0 105 -46,0.0 0.0 0.0 0.0 0.0 0.9523809523809523 0.18181818181818182,9.705627705627705,0.07857142857142857,364
